section,name,rows,columns,size_mb,description
file,maple_chatbot_final_dataset.csv,3567,25,70.10,최종 챗봇용 통합 데이터셋. 공식/위키/API 샘플/추천 룰/검수 보강/추가 보강 seed 데이터 포함
file,README_HANDOFF.md,,,0.01,현재 전달본 기준 인수인계 설명 파일
file,mapleqa_eda_for_chatbot.ipynb,,,0.01,현재 최종 데이터셋을 로드해 확인하는 EDA 노트북
file,dataset_summary.csv,,,0.00,현재 전달본 요약 파일
collection_scope,api_static_sample,1824,,,maple_chatbot_final_dataset.csv 내부 구성
collection_scope,wiki_additional_collection,1338,,,maple_chatbot_final_dataset.csv 내부 구성
collection_scope,supplemental_recommendation_rules,197,,,maple_chatbot_final_dataset.csv 내부 구성
collection_scope,official_document_collection,67,,,maple_chatbot_final_dataset.csv 내부 구성
collection_scope,supplemental_class_5th_core_priority,47,,,maple_chatbot_final_dataset.csv 내부 구성
collection_scope,supplemental_class_6th_hexa_priority,47,,,maple_chatbot_final_dataset.csv 내부 구성
collection_scope,supplemental_recommendation_review_support,27,,,maple_chatbot_final_dataset.csv 내부 구성
collection_scope,supplemental_korean_story_summary,12,,,maple_chatbot_final_dataset.csv 내부 구성
collection_scope,supplemental_market_event_upgrade_timing,8,,,maple_chatbot_final_dataset.csv 내부 구성
category,wiki,1338,,,maple_chatbot_final_dataset.csv category 분포
category,equipment_growth_rule,134,,,maple_chatbot_final_dataset.csv category 분포
category,character_ability,123,,,maple_chatbot_final_dataset.csv category 분포
category,character_basic,123,,,maple_chatbot_final_dataset.csv category 분포
category,character_item_equipment,123,,,maple_chatbot_final_dataset.csv category 분포
category,character_stat,123,,,maple_chatbot_final_dataset.csv category 분포
category,character_symbol_equipment,123,,,maple_chatbot_final_dataset.csv category 분포
category,user_union,122,,,maple_chatbot_final_dataset.csv category 분포
category,user_union_raider,122,,,maple_chatbot_final_dataset.csv category 분포
category,character_android_equipment,67,,,maple_chatbot_final_dataset.csv category 분포
category,character_beauty_equipment,67,,,maple_chatbot_final_dataset.csv category 분포
category,character_cashitem_equipment,67,,,maple_chatbot_final_dataset.csv category 분포
category,character_hyper_stat,67,,,maple_chatbot_final_dataset.csv category 분포
category,character_link_skill,67,,,maple_chatbot_final_dataset.csv category 분포
category,character_pet_equipment,67,,,maple_chatbot_final_dataset.csv category 분포
category,character_popularity,67,,,maple_chatbot_final_dataset.csv category 분포
category,character_propensity,67,,,maple_chatbot_final_dataset.csv category 분포
category,character_set_effect,67,,,maple_chatbot_final_dataset.csv category 분포
category,character_dojang,66,,,maple_chatbot_final_dataset.csv category 분포
category,character_hexamatrix,66,,,maple_chatbot_final_dataset.csv category 분포
category,character_hexamatrix_stat,66,,,maple_chatbot_final_dataset.csv category 분포
category,character_vmatrix,66,,,maple_chatbot_final_dataset.csv category 분포
category,user_union_artifact,66,,,maple_chatbot_final_dataset.csv category 분포
category,class_5th_core_priority,47,,,maple_chatbot_final_dataset.csv category 분포
category,class_6th_hexa_priority,47,,,maple_chatbot_final_dataset.csv category 분포
category,boss_recommendation_rule,45,,,maple_chatbot_final_dataset.csv category 분포
category,official_event,37,,,maple_chatbot_final_dataset.csv category 분포
category,reward_priority_rule,18,,,maple_chatbot_final_dataset.csv category 분포
category,korean_story_summary,12,,,maple_chatbot_final_dataset.csv category 분포
category,official_notice,10,,,maple_chatbot_final_dataset.csv category 분포
category,official_update,10,,,maple_chatbot_final_dataset.csv category 분포
category,ranking_overall,10,,,maple_chatbot_final_dataset.csv category 분포
category,ranking_union,10,,,maple_chatbot_final_dataset.csv category 분포
category,testworld_update,10,,,maple_chatbot_final_dataset.csv category 분포
category,api_feature_requirements,10,,,maple_chatbot_final_dataset.csv category 분포
category,recommendation_answer_guardrail,9,,,maple_chatbot_final_dataset.csv category 분포
category,recommendation_data_gap,8,,,maple_chatbot_final_dataset.csv category 분포
category,market_event_upgrade_timing,8,,,maple_chatbot_final_dataset.csv category 분포
category,ranking_theseed,7,,,maple_chatbot_final_dataset.csv category 분포
category,ranking_achievement,5,,,maple_chatbot_final_dataset.csv category 분포
