sample_index,character_name,ocid,world_name,level,job,union_level,combat_power,boss_damage_pct,ignore_defense_pct,critical_damage_pct,final_damage_pct,starforce,arcane_force,liberation_quest_clear,genesis_weapon_liberated,source
72,Flit,e49bcb58e82748c20b95f5439b739e97efe8d04e6d233bd35cf2fabdeb93fb0d,엘리시움,297,섀도어,9601,161720557,297.0,90.51,127.0,73.95,287.0,1350.0,1,1,existing_nexon_open_api_collection
73,혜지개미,14545567380a8363c49d78c1ed973a7b,레드,296,비숍,10208,284911819,349.0,95.79,123.5,233.49,288.0,1350.0,2,1,existing_nexon_open_api_collection
74,팽한개,3d4c34f12b65ef6584dc5b8d3af9f29d,스카니아,235,비숍,235,391761,90.0,62.89,26.0,203.17,51.0,375.0,0,0,existing_nexon_open_api_collection
75,로니찌,6c4ebbb64bd7bb004f873f074537849c,오로라,295,나이트로드,11000,245124435,476.0,96.68,114.1,63.19,334.0,1380.0,1,1,existing_nexon_open_api_collection
76,하미,d11bbecf7f68bbec5d047ebbfc6d4797,베라,298,보우마스터,9711,171685104,311.0,95.86,93.65,75.83,288.0,1350.0,1,1,existing_nexon_open_api_collection
77,모모난,f63843169b0f252ffb7c42032054aa46,루나,292,나이트로드,10268,295984091,446.0,95.79,117.05,63.19,317.0,1360.0,2,1,existing_nexon_open_api_collection
78,톰스,c71818cafa1d541a14282aeb28e2f762,스카니아,300,제논,9640,307412612,374.0,95.54,96.85,69.88,340.0,1360.0,2,1,existing_nexon_open_api_collection
79,인낀,0aff675969e5a92a15384e541f5ffb35efe8d04e6d233bd35cf2fabdeb93fb0d,엘리시움,298,아크,10958,1095995460,548.0,97.74,137.85,55.23,455.0,1360.0,2,1,existing_nexon_open_api_collection
80,쵸피츄피파,595b577ac0af5de874b6c36d28c40d85efe8d04e6d233bd35cf2fabdeb93fb0d,루나,262,렌,2579,3630073,187.0,87.87,22.0,69.23,194.0,890.0,0,0,existing_nexon_open_api_collection
81,윤형,c7f7f8e2b72502293ac9c5887eeaefa1,루나,295,"아크메이지(불,독)",10963,315982555,371.0,96.45,109.6,194.14,311.0,1380.0,2,1,existing_nexon_open_api_collection
82,낑유빈,8e31050870ba0bebe215b297f7b6d154,스카니아,265,"아크메이지(썬,콜)",7404,7665679,163.0,78.11,45.0,167.4,207.0,980.0,0,0,existing_nexon_open_api_collection
83,잼병,4757c7d68fb8f7a78fc51b34767dae28,스카니아,295,아란,10856,390633158,494.0,96.87,110.35,46.41,387.0,1350.0,1,1,existing_nexon_open_api_collection
84,17일차뉴비,ee571402e3524724dbf5d594fd4dde27,스카니아,215,렌,215,118325,78.0,60.72,10.0,69.23,60.0,90.0,0,0,existing_nexon_open_api_collection
85,스텝님,a4e58031934ade386a9c4724a9d19c07,베라,299,히어로,10300,319206235,444.0,96.35,78.65,51.25,419.0,1370.0,1,1,existing_nexon_open_api_collection
86,유자쏘주,03fd53ee2627388a6f3431790f5b5125efe8d04e6d233bd35cf2fabdeb93fb0d,엘리시움,299,에반,10618,245500013,578.0,96.89,147.4,85.61,383.0,1350.0,1,1,existing_nexon_open_api_collection
87,대공녀,ec6ab8158c0ade098e7f0f4f62a1ebcb,레드,299,비숍,9984,175267084,330.0,94.38,143.5,233.49,270.0,1360.0,1,1,existing_nexon_open_api_collection
88,달곰,cf7f9d7ffb25b011cb1852aad520d9d5efe8d04e6d233bd35cf2fabdeb93fb0d,엘리시움,295,엔젤릭버스터,10925,428820795,555.0,97.95,124.95,78.44,336.0,1350.0,2,1,existing_nexon_open_api_collection
89,마이뀨밍e,3b1d949ad7d1c44ddf21c3643014f4b6,스카니아,210,아크,,181837,82.0,54.18,30.0,41.12,65.0,230.0,0,0,existing_nexon_open_api_collection
90,레니핥,67c11162d8856abc98cc3567d6964d02efe8d04e6d233bd35cf2fabdeb93fb0d,유니온,280,렌,8543,25626130,241.0,91.52,56.45,69.23,236.0,1350.0,0,0,existing_nexon_open_api_collection
91,섀도닉은,dce8d58b63995917466a1b487a880a7c,루나,290,섀도어,10869,89856455,331.0,78.34,97.6,72.46,315.0,1350.0,1,1,existing_nexon_open_api_collection
92,해초무,4883d7686e28035b2ade7c863c4aa993,스카니아,293,제논,10059,151619476,356.0,95.65,98.7,28.7,229.0,1360.0,1,1,existing_nexon_open_api_collection
93,스포츠,300e7775255fccecdd35d564e86b57ed,스카니아,299,다크나이트,9666,300764669,344.0,95.66,140.45,208.27,346.0,1350.0,2,1,existing_nexon_open_api_collection
94,하비듀글리,31a4050960ee7e849b466e58adbd4159aae77432709819edb959e1fd5d1d77b4,엘리시움,268,듀얼블레이더,,979423,65.0,57.97,20.0,41.26,135.0,740.0,0,0,existing_nexon_open_api_collection
95,쿠몽,47e837bedb1a71e0ce90e3c117c1a166,크로아,299,은월,10324,252312695,311.0,96.3,104.4,102.41,336.0,1360.0,2,1,existing_nexon_open_api_collection
96,헨쇼,c54c36de504ffc979f67ec2c79d1b5eeefe8d04e6d233bd35cf2fabdeb93fb0d,엘리시움,300,아델,9929,165333679,445.0,92.51,140.15,84.04,275.0,1350.0,1,1,existing_nexon_open_api_collection
97,미완,ac8f77b8ac8986916c0af0295d9909c4,루나,295,팬텀,10090,430807141,475.0,96.29,116.15,87.33,409.0,1350.0,1,1,existing_nexon_open_api_collection
98,뵤뵤뵤뵤뵤우,fe10a2eae6701f11252a4f114fcfd97c8295750b1f4857867454debc45ec9c8a,엘리시움,272,보우마스터,472,2413688,135.0,85.96,47.0,61.23,110.0,830.0,0,0,existing_nexon_open_api_collection
99,김건희,62c56656b6d7b8861b15c0d6da00436b,크로아,297,팬텀,10506,437791637,350.0,94.55,149.75,87.33,327.0,1350.0,2,1,existing_nexon_open_api_collection
100,크래욘,46993d3988b62e968116ed89b4c3cd2e,에오스,290,루미너스,10369,156336952,389.0,96.57,90.5,107.83,316.0,1380.0,1,1,existing_nexon_open_api_collection
101,렌머시고,1e37dc6864edd6981e04b0e986cbc2a2efe8d04e6d233bd35cf2fabdeb93fb0d,루나,200,렌,,148212,70.0,60.72,10.0,69.23,60.0,140.0,0,0,existing_nexon_open_api_collection
102,리움퓨,0390f72cabdee082f35e5a5201bfc187,루나,295,일리움,10830,562042277,559.0,96.28,125.05,65.0,407.0,1350.0,1,1,existing_nexon_open_api_collection
103,거실,84a7655e479b8453b1c9dfcd39777185efe8d04e6d233bd35cf2fabdeb93fb0d,루나,298,카인,10129,248105630,426.0,96.23,127.0,144.89,309.0,1350.0,2,1,existing_nexon_open_api_collection
104,날씨좀알려줘,fbb051aaeb428ece6735aa54f45c46f3,오로라,296,아델,10809,229139362,409.0,95.35,114.4,96.58,283.0,1360.0,2,1,existing_nexon_open_api_collection
105,민송탄,fb76ceaa6f2016fdadef67f1e5a38333,베라,260,렌,460,600139,80.0,72.88,19.0,80.88,125.0,730.0,0,0,existing_nexon_open_api_collection
106,머거볼랭,b57ab0e30609e78e43b384653eae0444,스카니아,283,은월,10772,109585472,392.0,98.21,103.25,104.16,300.0,1370.0,1,1,existing_nexon_open_api_collection
107,덕언마꼬,e13a5ece0b06f5389ec0d14348e6af7aefe8d04e6d233bd35cf2fabdeb93fb0d,루나,276,보우마스터,8896,25381061,356.0,95.53,58.2,59.85,171.0,1320.0,0,0,existing_nexon_open_api_collection
108,듀얼쿠기,d72b290a87c6d3acec0f1aefce8d48b1efe8d04e6d233bd35cf2fabdeb93fb0d,엘리시움,295,제로,10849,482444355,559.0,97.68,138.85,62.16,396.0,1350.0,1,1,existing_nexon_open_api_collection
109,디뎌,4a1da5abf2676e3a00fcbf37c6ca0455efe8d04e6d233bd35cf2fabdeb93fb0d,엘리시움,299,아델,10406,212970882,338.0,94.96,110.4,84.04,313.0,1350.0,1,1,existing_nexon_open_api_collection
110,신키유네,950422728b32cd4edfd74db498da95c3,스카니아,273,키네시스,1213,2319801,129.0,86.59,51.0,148.27,96.0,1060.0,0,0,existing_nexon_open_api_collection
111,벨라녀,9b004fb98a5e3bef3a5c704652743115,크로아,290,메르세데스,10845,56104199,393.0,95.38,110.3,63.71,84.0,1350.0,1,1,existing_nexon_open_api_collection
112,튜치,c00992a66694de3eafe800198b3287ca,에오스,297,소울마스터,10430,787440493,539.0,97.74,127.1,60.88,418.0,1380.0,2,1,existing_nexon_open_api_collection
113,SC0729,637eb889149cde05cc572842da2ca0c2,스카니아,288,비숍,11046,115139179,446.0,95.6,82.0,233.49,284.0,1350.0,1,1,existing_nexon_open_api_collection
114,도니염미,982cbf324dfc1c3668867c5f5d28490a,크로아,295,윈드브레이커,10182,230365243,372.0,94.17,129.15,84.31,290.0,1380.0,2,1,existing_nexon_open_api_collection
115,미캡,4137ec9e150095ffe1ec37f18be9e4bc,에오스,296,캡틴,10079,315953552,342.0,93.72,156.7,81.05,379.0,1360.0,2,1,existing_nexon_open_api_collection
116,열정시민,80736d1939d4a19efc87c5d37935f8d0,크로아,298,히어로,10698,113172908,199.0,94.33,100.7,247.88,268.0,1350.0,1,1,existing_nexon_open_api_collection
117,파오,61fb539d372a378815924d80736440d1,크로아,297,히어로,10075,957294322,610.0,98.35,127.15,232.75,442.0,1380.0,2,1,existing_nexon_open_api_collection
118,진리관614,cb642b14f66507999db48ee4e479ae9b,루나,293,데몬어벤져,10194,687836112,508.0,97.9,109.95,30.9,425.0,1380.0,2,1,existing_nexon_open_api_collection
119,유나얼,ba9675da42b25d4e71694f4fe5f69462,스카니아,297,섀도어,10381,376655128,391.0,96.44,136.4,73.95,288.0,1350.0,2,1,existing_nexon_open_api_collection
120,하악이,034c84cd8c79b6ae3cf0dfa8e46630a1efe8d04e6d233bd35cf2fabdeb93fb0d,엘리시움,297,다크나이트,10901,191870140,360.0,94.09,167.35,208.27,343.0,1350.0,1,1,existing_nexon_open_api_collection
121,뜸찌,56edca1f9e0d2a2a8f66d19a62dbb88d,크로아,295,"아크메이지(썬,콜)",10966,184483859,336.0,94.69,111.35,194.14,338.0,1370.0,1,1,existing_nexon_open_api_collection
122,포도먹는표도,1b780a2677cc0c3dac763b2bfe4418a2efe8d04e6d233bd35cf2fabdeb93fb0d,엘리시움,297,나이트로드,10968,645463036,418.0,96.01,128.5,63.19,427.0,1370.0,2,1,existing_nexon_open_api_collection
123,EMD3,8056861d0b7d00e2a8d7bba3ddd6255fefe8d04e6d233bd35cf2fabdeb93fb0d,엘리시움,296,에반,11069,161101881,323.0,91.68,129.05,68.74,265.0,1350.0,1,1,existing_nexon_open_api_collection
124,Kresxent,83ea508a387d5a0eddf9541f64d77712efe8d04e6d233bd35cf2fabdeb93fb0d,엘리시움,294,섀도어,10807,121237036,311.0,86.87,109.0,72.46,243.0,1350.0,1,1,existing_nexon_open_api_collection
125,큐랑,a5cc8743674cacf1af0fa02824e7f859efe8d04e6d233bd35cf2fabdeb93fb0d,엘리시움,297,호영,10392,515267637,535.0,96.74,170.25,128.62,430.0,1350.0,1,1,existing_nexon_open_api_collection
126,뿌쟝,edb404db00e256316f7fc8080970250a,엘리시움,295,나이트로드,10289,212303737,416.0,95.91,144.65,63.19,266.0,1360.0,1,1,existing_nexon_open_api_collection
127,코카르테,491ff286ebbb0d2b720315366b3e4e0defe8d04e6d233bd35cf2fabdeb93fb0d,엘리시움,293,아크,9965,181424655,284.0,94.85,115.9,55.23,288.0,1350.0,1,1,existing_nexon_open_api_collection
128,그치,3dbe7604ef8725a7ec312bc496ebc41f,루나,299,비숍,10145,190335093,371.0,92.58,100.35,233.49,306.0,1370.0,1,1,existing_nexon_open_api_collection
129,I배틀매이지I,95d17bb73c1c217b99108d236c5e7c95,크로아,270,배틀메이지,710,3685229,227.0,83.27,55.0,58.6,145.0,970.0,0,0,existing_nexon_open_api_collection
130,도칼,3d04b18f4e318c126d01153f7b0eb564,크로아,285,아크,10159,154894301,449.0,97.05,100.4,55.23,310.0,1370.0,1,1,existing_nexon_open_api_collection
131,만남에반,d99e2dbfea281734092192151234ab44,오로라,294,에반,10938,159994408,365.0,97.17,157.95,68.74,311.0,1360.0,1,1,existing_nexon_open_api_collection
132,러다,864d2002485175b8791ec519e49da9af,스카니아,294,제로,11005,152322019,317.0,96.26,128.5,62.16,281.0,1350.0,1,1,existing_nexon_open_api_collection
133,염력,e030d27bd7a8804c81c570e43dfd5518,베라,297,키네시스,10044,759330492,564.0,97.96,133.7,173.09,436.0,1360.0,2,1,existing_nexon_open_api_collection
134,매화영업,22ef770d956b5626523e2b8be673b752,스카니아,278,렌,3752,13283395,264.0,80.58,30.5,69.23,176.0,1140.0,0,0,existing_nexon_open_api_collection
135,에스코트아델,744696342734b0bccea8bfbdbee9720f,스카니아,275,아델,4316,12502671,248.0,92.56,52.1,78.71,212.0,1440.0,0,0,existing_nexon_open_api_collection
136,엥뙈,41cd86b0dc1f28afa45c7d16d58ea878,크로아,285,칼리,10889,181700296,535.0,95.74,121.15,90.08,319.0,1350.0,1,1,existing_nexon_open_api_collection
137,리무,603b37aa89198bc0d6ee9367f17a5c21,스카니아,298,"아크메이지(썬,콜)",10503,273183094,255.0,94.46,104.4,194.14,341.0,1350.0,2,1,existing_nexon_open_api_collection
138,벨벨,6c8faa577de2eca0c75f1969b0229d6aefe8d04e6d233bd35cf2fabdeb93fb0d,엘리시움,300,스트라이커,10740,454654749,508.0,98.91,179.15,38.89,305.0,1360.0,2,1,existing_nexon_open_api_collection
139,라베찌,6f30609c8674441e2ad8de17a6107d65,베라,296,윈드브레이커,10973,168607954,445.0,89.63,137.0,84.31,307.0,1350.0,1,1,existing_nexon_open_api_collection
140,아넴,2a82ea6be965aa24c938bffb65bbdd13,에오스,295,아델,10835,252993000,340.0,96.4,102.1,96.58,349.0,1350.0,2,1,existing_nexon_open_api_collection
141,정색,14a5e9e890514ce29ad338ba9c84d07d,크로아,295,루미너스,10922,128501241,337.0,95.81,81.05,104.82,279.0,1350.0,1,1,existing_nexon_open_api_collection
