sample_index,character_name,ocid,world_name,level,job,union_level,combat_power,boss_damage_pct,ignore_defense_pct,critical_damage_pct,final_damage_pct,starforce,arcane_force,liberation_quest_clear,genesis_weapon_liberated,source
1,윤봄,f3d2ca03a923e574b670fcdd58d14f67,베라,295,비숍,9959,326534624,504.0,96.82,115.4,233.49,256.0,1360.0,2,1,existing_nexon_open_api_collection
2,세속,a5ac778c63af8e46801d8a4a0805f78a,베라,299,호영,10333,243071229,354.0,93.36,127.3,102.6,311.0,1380.0,1,1,existing_nexon_open_api_collection
3,덥죠,793ba4700bdb2defc00210be4319cb25,베라,298,히어로,9147,159219516,422.0,92.04,105.4,247.88,335.0,1360.0,1,1,existing_nexon_open_api_collection
4,구보,a713b32b9a2359def64d0b6e664b7e8a,루나,297,아크,10304,376230113,385.0,95.83,160.15,55.23,268.0,1370.0,2,1,existing_nexon_open_api_collection
5,Given,6203dcc16036377b9e5d9661403f8419efe8d04e6d233bd35cf2fabdeb93fb0d,루나,297,아델,10806,233158433,301.0,93.56,115.75,96.58,327.0,1350.0,2,1,existing_nexon_open_api_collection
6,의지WH,27110917a5bc7e2a643006aace15d050,오로라,288,와일드헌터,10857,100437606,316.0,85.48,107.0,126.84,277.0,1350.0,1,1,existing_nexon_open_api_collection
7,주갤,13af4b71b1a0849e522210f2ad438f62,베라,298,윈드브레이커,10109,301783425,447.0,94.73,125.8,84.31,325.0,1360.0,2,1,existing_nexon_open_api_collection
8,목숨,124b59a5671e1d6fee05492289a83bdeefe8d04e6d233bd35cf2fabdeb93fb0d,루나,295,렌,10857,75090561,271.0,92.88,76.65,86.15,213.0,1350.0,1,1,existing_nexon_open_api_collection
9,사칠,0ce3f4a4d6438a17f7f8280f48edb290,에오스,296,아델,10216,458007687,447.0,96.99,122.85,85.46,358.0,1360.0,2,1,existing_nexon_open_api_collection
10,세젤예나은띠,60f9112aca2ab0c8fbb9c3f40baf62afefe8d04e6d233bd35cf2fabdeb93fb0d,에오스,295,비숍,10877,207266208,286.0,89.82,129.15,233.49,387.0,1360.0,2,1,existing_nexon_open_api_collection
11,Rafail,5656d033c75f15fd8ee663d2575298c8,스카니아,285,보우마스터,10807,36044362,291.0,88.07,68.3,75.83,152.0,1350.0,1,1,existing_nexon_open_api_collection
12,조녜삔,03d761519c3a05948ca67b70c0be7948efe8d04e6d233bd35cf2fabdeb93fb0d,엘리시움,296,아델,10597,467257921,503.0,94.77,119.2,84.04,363.0,1360.0,2,1,existing_nexon_open_api_collection
13,브루스,8c7f07d9853faf70cfa4521027bf681a,크로아,294,비숍,10856,160903137,302.0,91.61,102.8,233.49,308.0,1360.0,1,1,existing_nexon_open_api_collection
14,동화나라,5e00d1ae242184ec405693d705d8d6a6,루나,296,듀얼블레이더,10953,142188968,454.0,90.88,85.65,55.39,203.0,1350.0,1,1,existing_nexon_open_api_collection
15,닉옴겨줘땅,b6e65995f9ad95a8cd65191f2a27eaff,크로아,299,듀얼블레이더,10748,108918225,273.0,86.37,88.5,55.39,268.0,1390.0,1,1,existing_nexon_open_api_collection
16,스비주,64dff14748a3f79c4a16350871176cfd,스카니아,285,비숍,10877,235388103,551.0,98.66,102.3,233.49,371.0,1350.0,1,1,existing_nexon_open_api_collection
17,도스석궁,a8d1c7ce79ad026c37f1eeeb13046282,크로아,295,신궁,10474,1091761745,592.0,97.88,137.0,88.52,443.0,1350.0,2,1,existing_nexon_open_api_collection
18,페온,2b6c51531d28884f751e9eb900eb5424,루나,297,에반,9297,142739837,283.0,91.11,118.7,68.74,299.0,1350.0,1,1,existing_nexon_open_api_collection
19,Ssiwoo,63900e00115c2d6e551f1dfee4625f6f,루나,297,아란,9538,181090631,309.0,88.7,105.15,46.41,304.0,1360.0,1,1,existing_nexon_open_api_collection
20,태평양,ba1293a5aa001d9a63fe22f31f73d229,스카니아,295,와일드헌터,10350,752683230,601.0,97.86,136.0,126.84,428.0,1360.0,2,1,existing_nexon_open_api_collection
21,시기S,fbacb5a950b74989d4c753aa7b6ecfbf,크로아,298,듀얼블레이더,10413,1023706651,685.0,97.88,180.55,197.98,439.0,1380.0,2,1,existing_nexon_open_api_collection
22,지멈,00f545c90c77cb59b1fab83514eaddd9,스카니아,296,엔젤릭버스터,10285,373630636,508.0,97.97,164.4,78.44,342.0,1460.0,2,1,existing_nexon_open_api_collection
23,고티카,d6473f7703b258b36475ef0bf1d4aadbefe8d04e6d233bd35cf2fabdeb93fb0d,엘리시움,295,듀얼블레이더,11027,482410218,482.0,96.15,120.25,55.39,431.0,1350.0,1,1,existing_nexon_open_api_collection
24,떱뒤,f8612f4aa4da3e7388d3cc52e86ef953efe8d04e6d233bd35cf2fabdeb93fb0d,루나,295,섀도어,10907,122949628,184.0,67.11,121.3,94.83,278.0,1350.0,1,1,existing_nexon_open_api_collection
25,솝상,1bc9dd42a91c3d2e449d0f68a1ae34a2,크로아,300,비숍,10201,167776551,322.0,91.03,88.75,233.49,309.0,1380.0,1,1,existing_nexon_open_api_collection
26,낵넛,dc28166717a9d8000a5884ea3a84bebeefe8d04e6d233bd35cf2fabdeb93fb0d,오로라,271,렌,1016,6444966,186.0,86.14,27.4,69.23,253.0,840.0,0,0,existing_nexon_open_api_collection
27,캐마,6829d7a33e6aeac5010cc368349878deefe8d04e6d233bd35cf2fabdeb93fb0d,엘리시움,295,캐논마스터,10578,254678361,463.0,94.89,109.4,76.09,284.0,1350.0,1,1,existing_nexon_open_api_collection
28,샤프,fed58a95394a61c39a26be32d5d96e26efe8d04e6d233bd35cf2fabdeb93fb0d,에오스,298,팬텀,10481,1093139785,499.0,97.94,135.5,124.8,458.0,1350.0,2,1,existing_nexon_open_api_collection
29,판매자,0c41ff653bd6d5adf6e95cf97a45837a,루나,297,히어로,9704,132084272,277.0,94.61,101.3,232.75,317.0,1350.0,1,1,existing_nexon_open_api_collection
30,리토잉,3b734fcbea13bd800c5d4f69475a9a22,베라,298,에반,10855,203074494,358.0,97.25,132.2,68.74,245.0,1370.0,1,1,existing_nexon_open_api_collection
31,징스,ee46bbb26bac1aa27dfcc91144e84772,루나,295,히어로,10751,228558081,357.0,96.85,113.8,51.25,270.0,1360.0,2,1,existing_nexon_open_api_collection
32,모니,48c4ac5c12b558e06b79797259b157a1,크로아,297,에반,10068,188600826,372.0,95.27,120.35,68.74,270.0,1370.0,1,1,existing_nexon_open_api_collection
33,양주,5950ecbf1bf434f32e8f11226400a8cf,크로아,296,에반,10513,407150776,413.0,95.64,131.55,68.74,318.0,1360.0,2,1,existing_nexon_open_api_collection
34,렌의마지막,0b9034911fca3b2914efce89fb2b17e4,스카니아,286,렌,10937,63126145,303.0,94.18,64.0,69.23,267.0,1400.0,0,0,existing_nexon_open_api_collection
35,개강,295c7fae3eed0725490411638b4a8b76,스카니아,297,비숍,9922,820353990,622.0,97.55,159.4,274.68,438.0,1360.0,1,1,existing_nexon_open_api_collection
36,쿠로사키,ed441a024ebc3788c1bfb8c550922a7b,베라,296,아란,10872,165426476,298.0,89.99,111.6,56.48,327.0,1350.0,1,1,existing_nexon_open_api_collection
37,개링,357dcc238a390729e767e5c72d10a254,루나,298,윈드브레이커,10589,256906888,419.0,94.54,109.25,82.95,291.0,1350.0,2,1,existing_nexon_open_api_collection
38,돌곰,bec17dc94b900028c2b7ade0ceedaea8efe8d04e6d233bd35cf2fabdeb93fb0d,루나,297,패스파인더,10814,287607323,328.0,93.83,126.4,57.7,379.0,1350.0,1,1,existing_nexon_open_api_collection
39,즈호,cd97eac6e979c3e05ba4c98814cdc3c7,크로아,281,호영,8899,28733279,190.0,82.28,95.15,84.18,196.0,1320.0,0,0,existing_nexon_open_api_collection
40,드델,baeae282a34ef5a532a51b61c05ff1fbefe8d04e6d233bd35cf2fabdeb93fb0d,엘리시움,290,아델,10817,111981102,271.0,88.66,87.8,84.04,223.0,1350.0,1,1,existing_nexon_open_api_collection
41,캔디붐,e030e72a06764f182ec0739972546c5d,루나,295,"아크메이지(썬,콜)",10189,296507759,339.0,95.5,121.45,194.14,299.0,1370.0,2,1,existing_nexon_open_api_collection
42,초능력분류학,64bd7115e4d548601abc3a1661bf701f,루나,295,키네시스,10857,150312926,388.0,92.94,147.05,186.54,266.0,1360.0,1,1,existing_nexon_open_api_collection
43,흑백남녀,458f94ca1a6d0599bfea619e83601f24,루나,295,배틀메이지,10536,635146447,509.0,98.4,145.45,74.46,425.0,1380.0,2,1,existing_nexon_open_api_collection
44,늘지,4fdff3d1c7cafa0bb761bf656efbfb1fefe8d04e6d233bd35cf2fabdeb93fb0d,이노시스,295,플레임위자드,10111,180729979,158.0,91.2,108.9,122.75,296.0,1370.0,2,1,existing_nexon_open_api_collection
45,달향이,a7ebfa8428a462d40e5b7288bf7cc399efe8d04e6d233bd35cf2fabdeb93fb0d,루나,297,바이퍼,9232,99097423,219.0,84.03,98.95,50.4,332.0,1350.0,1,1,existing_nexon_open_api_collection
46,천정,bfc0db4e2ce85a329c1db5d672bff3cb,루나,295,캡틴,10265,847559104,597.0,98.04,155.1,78.2,413.0,1380.0,2,1,existing_nexon_open_api_collection
47,김병간,96a3f6a7487c93348b94d192f244db4a,크로아,297,아크,9889,305568784,340.0,96.38,126.45,55.23,306.0,1360.0,2,1,existing_nexon_open_api_collection
48,단임,8b10f1ec890673d8e1beaec626ec9f7aefe8d04e6d233bd35cf2fabdeb93fb0d,엘리시움,295,에반,11007,269876823,577.0,96.11,165.3,68.74,363.0,1375.0,1,1,existing_nexon_open_api_collection
49,비류,0fe2fd7c8d3f3b583e41ec8488b52bea,스카니아,297,플레임위자드,10181,1036132392,640.0,97.94,134.85,131.66,444.0,1370.0,2,1,existing_nexon_open_api_collection
50,고딩,0d73bf5cf42310a9dc63efa7cb453655efe8d04e6d233bd35cf2fabdeb93fb0d,루나,297,팔라딘,11065,526710049,394.0,96.15,97.5,93.29,361.0,1350.0,2,1,existing_nexon_open_api_collection
51,젝꼼,958019f1bb4c58e0cfb26009f97168ca,크로아,285,메르세데스,8531,66932838,388.0,92.96,79.0,50.06,288.0,1350.0,0,0,existing_nexon_open_api_collection
52,뻥힛,966b51f484b2c2fea3940f313a8f7abbefe8d04e6d233bd35cf2fabdeb93fb0d,엘리시움,298,듀얼블레이더,10816,303229346,345.0,96.3,126.85,119.1,292.0,1350.0,2,1,existing_nexon_open_api_collection
53,꾸왁v,b43b6fa974a0e890b07a3449d2b9f80b,아케인,200,"아크메이지(썬,콜)",,7597,0.0,20.4,15.0,167.4,0.0,40.0,0,0,existing_nexon_open_api_collection
54,깨루미,b2cf6a12236d7ab2ea69e5db68287200efe8d04e6d233bd35cf2fabdeb93fb0d,루나,299,루미너스,10057,302518750,373.0,96.21,106.8,104.82,338.0,1415.0,2,1,existing_nexon_open_api_collection
55,챔히,8d4bd158dcf950bf6a76b411f894017c,제니스,298,팔라딘,10108,174231971,346.0,93.87,98.05,82.35,284.0,1350.0,1,1,existing_nexon_open_api_collection
56,서울시,0985a11c0acdd1b8725f99c14500ec4a,크로아,295,패스파인더,11155,177812094,323.0,93.42,85.2,57.7,280.0,1380.0,1,1,existing_nexon_open_api_collection
57,으누담,bfcef9c9cbfd5adc3049e441ee0062a9efe8d04e6d233bd35cf2fabdeb93fb0d,에오스,290,듀얼블레이더,10840,206577853,368.0,90.6,145.35,55.39,316.0,1350.0,1,1,existing_nexon_open_api_collection
58,201903120156,c61e15203a299e4ea34b545f9ad46de6,루나,295,패스파인더,10866,231101823,475.0,97.74,84.8,57.7,312.0,1460.0,1,1,existing_nexon_open_api_collection
59,격실,6a0f0719a4871c1ce02c55f0fe4d7d47,루나,293,엔젤릭버스터,10828,129998079,321.0,94.07,95.0,78.44,274.0,1350.0,1,1,existing_nexon_open_api_collection
60,raro,598f53182d234b3b2f14c35eb39bfcfb,루나,300,팬텀,9649,241807343,341.0,93.25,108.0,216.96,325.0,1390.0,1,1,existing_nexon_open_api_collection
61,짜세,d558ddd2908b324ba3b68d293ac5ce3f,베라,296,호영,10308,421093223,445.0,94.87,134.85,102.6,318.0,1350.0,2,1,existing_nexon_open_api_collection
62,날먹메린이,b214e7063aef3ba9fd87dea3f00d0c87,루나,294,"아크메이지(불,독)",10171,206342191,318.0,94.81,106.85,194.14,275.0,1350.0,2,1,existing_nexon_open_api_collection
63,IreliaMan,e8e000789bcbde3ef5f631627874d268,루나,298,아델,9476,184481013,346.0,91.03,98.95,84.04,311.0,1350.0,1,1,existing_nexon_open_api_collection
64,초급방패,4c62dc0a0ef6aa3aab8b11900026afedefe8d04e6d233bd35cf2fabdeb93fb0d,루나,286,미하일,10914,178004930,402.0,96.5,107.95,106.25,355.0,1380.0,1,1,existing_nexon_open_api_collection
65,알샤,049e8dad42fff1f6cca2b613f3f0f1bd,스카니아,299,나이트로드,9847,301986917,437.0,94.36,124.05,63.19,305.0,1360.0,2,1,existing_nexon_open_api_collection
66,야에르아란,815220a76698bb245eb139e390cb5bce,레드,290,아란,10845,81928675,301.0,78.63,82.45,46.41,248.0,1350.0,1,1,existing_nexon_open_api_collection
67,Spin,0a30d72c028fdf1ad575b9e13ef3b80c,스카니아,295,아크,10457,918107893,549.0,97.98,133.8,55.23,447.0,1360.0,2,1,existing_nexon_open_api_collection
68,여갤,1c961968020d376d90ae392667b58cc0,크로아,296,캐논마스터,9830,289884157,440.0,94.19,118.5,77.43,263.0,1360.0,2,1,existing_nexon_open_api_collection
69,Luckywomen,3910acad6502690752d6a6c151860f8a,에오스,295,섀도어,10299,222456131,295.0,92.18,137.1,73.95,343.0,1380.0,1,1,existing_nexon_open_api_collection
70,Ereve,ceb96d13737f222a1f6aef94c38b4467,크로아,297,다크나이트,10737,123497634,336.0,92.39,119.25,122.75,281.0,1380.0,1,1,existing_nexon_open_api_collection
71,숙원,dd21470039e36ca0fdfa9d0477505b33,스카니아,298,바이퍼,10402,669036698,565.0,98.37,137.5,50.4,412.0,1370.0,1,1,existing_nexon_open_api_collection
