sample_index,stat_date,character_name,ocid,world_name,level,job,union_level,combat_power,boss_damage_pct,ignore_defense_pct,critical_damage_pct,final_damage_pct,starforce,arcane_force,liberation_quest_clear,genesis_weapon_equipped,genesis_weapon_liberated,destiny_weapon_equipped,destiny_weapon_liberated
1,2026-05-06,몽클레어,6c22c4aaa120be4474d7e0a9d420f753efe8d04e6d233bd35cf2fabdeb93fb0d,엘리시움,299,나이트로드,10283,292550716.0,383.0,92.86,137.1,63.19,330.0,1350.0,1,1,1,0,0
2,2026-05-06,송재민,3fe9d397814553ed6ceeadae8caa34db,크로아,297,나이트로드,9881,190231196.0,346.0,94.13,107.45,63.19,305.0,1370.0,1,1,1,0,0
3,2026-05-06,곤주,b41546f8dfb6267651817cd1792c85c8efe8d04e6d233bd35cf2fabdeb93fb0d,엘리시움,300,"아크메이지(불,독)",10119,220450982.0,296.0,93.0,105.6,267.67,280.0,1360.0,1,1,1,0,0
4,2026-05-06,희야아부지,c404c490470c36429e89c95843679e9d,스카니아,296,듀얼블레이더,9949,537930825.0,499.0,96.5,115.75,55.39,432.0,1360.0,1,1,1,0,0
5,2026-05-06,챌리,acea2d2223273b935505888453660058,스카니아,298,"아크메이지(썬,콜)",10810,328725061.0,390.0,96.27,91.45,194.14,336.0,1380.0,2,0,1,1,1
6,2026-05-06,햄쥬,93acd268987857b9f555ea5be431658cefe8d04e6d233bd35cf2fabdeb93fb0d,엘리시움,298,캐논마스터,9976,288776522.0,394.0,93.64,101.45,76.09,310.0,1370.0,2,0,1,1,1
7,2026-05-06,재사대,bce8aaa1cc4dc49ef92aa8c4233fee44,베라,300,데몬어벤져,9561,345018020.0,276.0,94.81,102.75,54.16,400.0,1350.0,1,1,1,0,0
8,2026-05-06,파랑,eb7a0cd7fbfd5297c97a549c585d79d7,베라,296,스트라이커,,623169246.0,392.0,93.52,145.7,38.89,429.0,1350.0,2,0,1,1,1
9,2026-05-06,LG전자,2b29afaf4d22df71ea35f203bc8966b0,제니스,296,비숍,10525,194771694.0,450.0,93.39,81.65,233.49,306.0,1350.0,1,1,1,0,0
10,2026-05-06,광부용hs,61e46e11f3ab94f7c1afb6076357dd06,크로아,297,듀얼블레이더,10093,379082513.0,417.0,93.31,123.5,55.39,370.0,1380.0,2,0,1,1,1
11,2026-05-06,신서시스,9823773fadbad38eb2d0dd21857b1614,레드,297,다크나이트,10216,127714429.0,210.0,88.02,111.7,122.75,241.0,1350.0,1,1,1,0,0
12,2026-05-06,태기,51fcd6ef9e76d60ae9daec9fdfaa91ee,베라,297,다크나이트,10453,193549392.0,283.0,88.47,112.1,122.75,298.0,1370.0,2,0,1,1,1
13,2026-05-06,버터,21ba749dd7f3de75400fad4bceeba174efe8d04e6d233bd35cf2fabdeb93fb0d,엘리시움,300,나이트로드,9530,24277650.0,190.0,61.22,80.7,63.19,87.0,1350.0,1,1,1,0,0
14,2026-05-06,현지지배,f9970edabc321a155ea8499248fd9e0fefe8d04e6d233bd35cf2fabdeb93fb0d,이노시스,296,듀얼블레이더,9624,217455933.0,360.0,88.55,95.0,55.39,350.0,1360.0,1,1,1,0,0
15,2026-05-06,오해,13df97ea2f152620959344cce615fa0c,베라,296,비숍,10741,355200986.0,398.0,94.68,110.85,233.49,289.0,1350.0,2,0,1,1,1
16,2026-05-06,제집,fdb9cdba5e279032e04df29cbe1647a8,루나,297,아델,9863,324384646.0,406.0,97.53,128.3,84.04,341.0,1360.0,2,0,1,1,1
