sample_index,stat_date,character_name,ocid,world_name,level,job,union_level,combat_power,boss_damage_pct,ignore_defense_pct,critical_damage_pct,final_damage_pct,starforce,arcane_force,liberation_quest_clear,genesis_weapon_equipped,genesis_weapon_liberated,destiny_weapon_equipped,destiny_weapon_liberated
17,2026-05-06,건설,d8bf36cde11d07e394955b8bae109e27,크로아,295,섀도어,9619,240902381.0,300.0,91.78,128.75,72.46,298.0,1360.0,2,0,1,1,1
18,2026-05-06,때구,650c8e65e5e43e5c1dadbf14311c1b2e,스카니아,298,아델,9303,179059085,319.0,84.23,106.8,96.58,336.0,1350.0,1,1,1,0,0
19,2026-05-06,꼴깍,7fb24b063adce1a94cb218c68dadf0efefe8d04e6d233bd35cf2fabdeb93fb0d,엘리시움,299,듀얼블레이더,9901,319701290.0,396.0,93.75,113.2,55.39,296.0,1380.0,2,0,1,1,1
20,2026-05-06,자리스틸의왕,f0413eb9ff9629118da599ed96b523a9,크로아,296,히어로,10035,463895516.0,386.0,97.15,112.4,232.75,331.0,1360.0,2,0,1,1,1
21,2026-05-06,물고기닷,85a8a32617fa5934f632861486fc5b78,루나,296,아란,10077,164461861.0,316.0,91.2,104.3,46.41,312.0,1360.0,1,1,1,0,0
22,2026-05-06,초코빵내꺼야,badaa202e208c7008ea23a0eff2442d4efe8d04e6d233bd35cf2fabdeb93fb0d,엘리시움,298,카데나,10531,532359507.0,465.0,95.72,130.35,14.4,363.0,1360.0,2,0,1,1,1
23,2026-05-06,나로현인,c4030fb94c4d75f81bee8b310ecb4b40,스카니아,297,나이트로드,9779,108963238.0,289.0,79.65,89.1,63.19,265.0,1370.0,1,1,1,0,0
24,2026-05-06,택시,fac9f19d41682eae43246b60882c2d42,베라,295,아란,10080,527368959.0,435.0,97.51,121.4,46.41,427.0,1380.0,1,1,1,0,0
25,2026-05-06,눈넘이,f308c4d52d57b0aeb249cbd5f3e6a573,오로라,296,캐논마스터,10236,160475573.0,347.0,93.84,88.05,76.09,272.0,1360.0,1,0,1,0,0
26,2026-05-06,일자,554dd25bd76c77cc09fa156b7833171e,베라,300,나이트로드,10256,439786417,449.0,93.63,121.45,63.19,408.0,1390.0,2,0,1,1,1
27,2026-05-06,꼬마불꽃,ff95bf6d0b1aa2f3950a2518a91b6c0a,루나,298,플레임위자드,10572,585487388.0,529.0,93.87,117.05,127.21,431.0,1380.0,2,0,1,1,1
28,2026-05-06,씨냐,43507ee78b751f828f8a625c43d65e1cefe8d04e6d233bd35cf2fabdeb93fb0d,루나,296,카인,10201,292407674.0,420.0,95.22,138.8,146.77,294.0,1365.0,2,0,1,1,1
29,2026-05-06,큐리링,5b76ac964ed07bc6c3d87b1e7ad3303a,크로아,298,배틀메이지,10888,877506437.0,660.0,98.66,200.3,74.46,434.0,1380.0,2,0,1,0,0
30,2026-05-06,패풍,959051ff711c3c39614fb6652a18dfe4,크로아,295,패스파인더,9351,211519693.0,393.0,93.8,121.9,57.7,240.0,1350.0,1,0,1,0,0
31,2026-05-06,로한,cc917d33795358dbe240a6dfb8b14c6d,스카니아,295,바이퍼,9985,245074393.0,356.0,93.59,123.45,50.4,334.0,1360.0,1,1,1,0,0
32,2026-05-06,읽씹,8c4ae566734aebd14cbe6491e5f4a0cb,루나,297,와일드헌터,10239,346917976.0,451.0,96.51,140.1,126.84,293.0,1380.0,2,0,1,1,1
33,2026-05-06,삼키,1d91c388a940f2d8e4965476ffb7a9ccefe8d04e6d233bd35cf2fabdeb93fb0d,엘리시움,295,제로,9735,312314295.0,410.0,96.23,126.8,71.89,380.0,1360.0,2,0,1,1,1
34,2026-05-06,애정당,15de861a28c14f6b7b8574e5517ea803efe8d04e6d233bd35cf2fabdeb93fb0d,엘리시움,297,소울마스터,9980,321329922.0,572.0,97.64,158.75,70.53,373.0,1350.0,1,1,1,0,0
35,2026-05-06,가람,ed1eea2f62faf38f65fd0573046e1a6a,스카니아,299,소울마스터,10027,127765151.0,228.0,79.53,94.4,60.88,243.0,1350.0,1,1,1,0,0
36,2026-05-06,함다연,68d4e53e18ee63cbecb3f3dfc0381636efe8d04e6d233bd35cf2fabdeb93fb0d,엘리시움,296,소울마스터,10935,1035118179.0,571.0,98.5,147.55,70.53,457.0,1370.0,2,0,1,1,1
37,2026-05-06,낫스,f8fdceadd2f6fa6540c477ba37be4ad1,루나,298,섀도어,,278107438.0,444.0,85.54,151.0,73.95,304.0,1350.0,2,0,1,1,1
38,2026-05-06,코코몽,07a3c40f52b19a6d70df477e8172d561efe8d04e6d233bd35cf2fabdeb93fb0d,루나,295,키네시스,9109,128244655.0,261.0,85.17,105.3,173.09,279.0,1350.0,1,1,1,0,0
39,2026-05-06,반석,e5e1586eb31a5f38d2124402b0ae95db,스카니아,297,"아크메이지(썬,콜)",10536,189987594.0,400.0,95.45,93.1,194.14,391.0,1350.0,1,1,1,0,0
40,2026-05-06,비껍,0310a1bc4c5b880bef4f37806aca5d45,크로아,295,은월,10298,195840300.0,350.0,95.8,120.4,102.41,281.0,1350.0,1,1,1,0,0
41,2026-05-06,대공녀,ec6ab8158c0ade098e7f0f4f62a1ebcb,레드,299,비숍,9984,175267084,330.0,94.38,143.5,233.49,270.0,1360.0,1,0,1,0,0
42,2026-05-06,앙떵,326ab83ec2e8ffc68a8b77e72e000db4efe8d04e6d233bd35cf2fabdeb93fb0d,엘리시움,296,아델,,760113655.0,612.0,98.73,134.4,96.58,410.0,1370.0,2,0,1,1,1
43,2026-05-06,아욤,40a35ddb55e4478e89e77fb51e7fb666,루나,300,비숍,,419890972.0,425.0,95.16,116.5,303.52,333.0,1350.0,2,0,1,1,1
44,2026-05-06,정보원,1ce192342e99a3c6a033a5e609acfef5,크로아,295,"아크메이지(불,독)",9904,270851128.0,361.0,94.36,115.55,223.55,266.0,1370.0,2,0,1,1,1
45,2026-05-06,식초,b3cf3d03f6dc963cea1dfea31f7cb6a1,크로아,298,듀얼블레이더,10319,293438806.0,325.0,91.5,113.2,55.39,270.0,1380.0,2,0,1,1,1
46,2026-05-06,학자놈,ad7ad7d8aa5d43f070350f6f0b4ff1faefe8d04e6d233bd35cf2fabdeb93fb0d,엘리시움,295,팬텀,10007,240098018.0,283.0,91.17,111.75,87.33,323.0,1380.0,2,0,1,0,0
47,2026-05-06,Knight,4fec23a81f20dfa9164e2b0dc0538bc3,스카니아,297,다크나이트,10039,81664558.0,358.0,95.68,120.65,185.44,190.0,1350.0,1,1,1,0,0
48,2026-05-06,승환쿤,5c7ce5ff0b77926c23e56115fe637f22,루나,298,패스파인더,10526,141695914.0,313.0,92.84,113.0,57.7,288.0,1350.0,1,1,1,0,0
49,2026-05-06,연님,c28adf632498c3a3d6ce87c16ad2157d,스카니아,300,아델,10091,366169261.0,503.0,97.67,119.5,84.04,405.0,1395.0,1,1,1,0,0
50,2026-05-06,포탑,d279fd118446b5f2f39d9f3aeeaab44defe8d04e6d233bd35cf2fabdeb93fb0d,엘리시움,296,캐논마스터,9599,651286420.0,548.0,97.08,119.45,76.09,444.0,1350.0,2,0,1,1,1
51,2026-05-06,또날,44ac1d43afbaff4e40ad926906621ae0,스카니아,295,듀얼블레이더,9972,281959627.0,423.0,90.5,121.4,55.39,317.0,1380.0,2,0,1,1,1
52,2026-05-06,축일추풍,ab3ec1d9a7e383ffbc9952f74de6221aefe8d04e6d233bd35cf2fabdeb93fb0d,루나,297,윈드브레이커,,1216746416.0,681.0,98.86,180.5,84.31,443.0,1360.0,2,0,1,1,1
53,2026-05-06,러애,1b0019a49d0e5be4e64642e876afbe90,베라,296,비숍,9549,781010730.0,564.0,97.9,120.8,233.49,431.0,1370.0,2,0,1,1,1
54,2026-05-06,Aufgabe,1b06cac50572c507416427fabc69faa7,제니스,299,배틀메이지,10611,759783609.0,483.0,98.15,147.05,74.46,391.0,1360.0,2,0,1,1,1
55,2026-05-06,그고,82d531d0f9e5767d45f39afc2ae2f409efe8d04e6d233bd35cf2fabdeb93fb0d,유니온,297,"아크메이지(불,독)",10343,286212927.0,426.0,97.23,106.5,194.14,306.0,1360.0,2,0,1,1,1
56,2026-05-06,덕구당,9a6f6620c52e476ed1415af5670b982defe8d04e6d233bd35cf2fabdeb93fb0d,유니온,296,데몬슬레이어,9879,149496003.0,350.0,93.2,83.75,106.72,278.0,1350.0,1,0,1,0,0
57,2026-05-06,걍접,7e1228ad43c1fe66185ff561a746c83e,크로아,297,데몬어벤져,10126,246909237.0,403.0,95.53,131.55,59.83,287.0,1350.0,2,0,1,0,0
58,2026-05-06,플론,144b4a5e7dcd6205e6e81e89f75530f3,루나,295,아크,9682,216893800.0,344.0,91.86,118.35,55.23,324.0,1370.0,1,1,1,0,0
59,2026-05-06,개사기,3eb32d30180b0e94c3c5ef10a5d189bc,스카니아,295,에반,9865,388928091.0,498.0,97.84,131.2,68.74,308.0,1380.0,2,0,1,1,1
60,2026-05-06,너픈,8bbe7508da0e006dd5b7e1ee018b6aa8efe8d04e6d233bd35cf2fabdeb93fb0d,엘리시움,296,"아크메이지(불,독)",10338,189908679.0,308.0,91.26,132.25,267.67,350.0,1360.0,1,1,1,0,0
61,2026-05-06,딸기시루짱,fb319305284b028cacbb001c1c6a8e4b,루나,295,윈드브레이커,,57345493.0,382.0,91.44,118.35,84.31,147.0,1350.0,1,1,1,0,0
62,2026-05-06,쭌쑤,7477294e959a44c86477c384d1c162b4,베라,295,카인,,360287955.0,437.0,94.4,137.0,146.77,301.0,1360.0,2,0,1,1,1
63,2026-05-06,청운검,8f11f1cd59e0897159ec04502c58d88befe8d04e6d233bd35cf2fabdeb93fb0d,루나,296,히어로,9817,254926703.0,473.0,95.22,140.75,393.8,320.0,1350.0,1,1,1,0,0
64,2026-05-06,와잇,ca11b83f6916976d6a7ddf5256fd405a,베라,295,나이트로드,10109,182339736.0,492.0,96.69,120.35,63.19,244.0,1350.0,1,1,1,0,0
65,2026-05-06,딘뽀,73af88ad812f4eac3bfcaaa77b54ec60,오로라,299,윈드브레이커,10171,316948386.0,397.0,95.15,121.35,84.31,343.0,1350.0,2,0,1,1,1
66,2026-05-06,실드체이싱,967eb7cfdbbd8411b0d75f29b7682dccefe8d04e6d233bd35cf2fabdeb93fb0d,엘리시움,295,데몬어벤져,10227,108284102.0,307.0,89.68,60.3,30.9,244.0,1350.0,1,1,1,0,0
67,2026-05-06,혐세,f4cb3e69c03d7321a571245537a8d61e,크로아,295,나이트로드,9484,138650911.0,384.0,81.88,97.35,63.19,298.0,1360.0,1,1,1,0,0
68,2026-05-06,떠현,a159afb466f80561cc1b9c2fd4dd6042,크로아,295,비숍,9708,195536062.0,346.0,93.03,96.65,233.49,315.0,1350.0,1,1,1,0,0
69,2026-05-06,서글픈별빛,c42ec388f4320e2449d694a9a38982e8efe8d04e6d233bd35cf2fabdeb93fb0d,엘리시움,295,비숍,10269,619406494.0,545.0,98.35,117.95,233.49,425.0,1350.0,2,0,1,1,1
70,2026-05-06,파이어,2b169b1db1de469c3597f1ee579067ffefe8d04e6d233bd35cf2fabdeb93fb0d,루나,296,"아크메이지(썬,콜)",10927,225245522.0,268.0,90.12,105.2,194.14,277.0,1385.0,2,0,1,1,1
71,2026-05-06,청의,e2eb74f885885f1084dd2476c3cb95daefe8d04e6d233bd35cf2fabdeb93fb0d,엘리시움,296,루미너스,9800,366599056.0,501.0,97.62,120.65,104.82,370.0,1360.0,1,1,1,0,0
72,2026-05-06,파란은하,268765aaa44ed987d68981f27d72ecf2,크로아,297,듀얼블레이더,10081,417478574.0,561.0,94.56,102.95,55.39,411.0,1350.0,1,1,1,0,0
73,2026-05-06,펌찌,b5ab1963305f284585e6359876446c84,스카니아,296,카데나,10280,661917725.0,570.0,97.97,129.65,14.4,408.0,1370.0,2,0,1,1,1
74,2026-05-06,주흔,e22601db51e3cb1abbb357466e76adbaefe8d04e6d233bd35cf2fabdeb93fb0d,엘리시움,300,비숍,10105,216258415.0,322.0,94.66,111.85,233.49,286.0,1380.0,1,0,1,0,0
75,2026-05-06,Tane,ab92cc5e3f5f276228bef6f2fda11b6e,오로라,296,아크,10420,320160669.0,356.0,92.61,125.55,55.23,318.0,1360.0,2,0,1,1,1
76,2026-05-06,만아,13138a519eb06a4faf068df4eddb99ac,베라,295,"아크메이지(썬,콜)",10504,573995869.0,451.0,98.46,106.35,194.14,410.0,1380.0,2,0,1,1,1
77,2026-05-06,나로뀨히,36a02a7176a49d7fb9326a7f7c301a0cefe8d04e6d233bd35cf2fabdeb93fb0d,엘리시움,296,나이트로드,,505223062.0,567.0,97.17,157.0,63.19,429.0,1350.0,1,1,1,0,0
78,2026-05-06,원한,3f62c87ad83abbbc4552f084c40a1080,루나,296,듀얼블레이더,9848,324065272.0,343.0,89.26,104.85,55.39,347.0,1350.0,2,0,1,1,1
79,2026-05-06,완치,837ef753d29c4e2cfe544fe8311b8fa6,스카니아,299,듀얼블레이더,9769,290558561.0,411.0,92.39,109.2,55.39,312.0,1360.0,2,0,1,1,1
80,2026-05-06,꿀밤,823d65219014bb956aa9365bbceaa87f,오로라,297,섀도어,10621,1475953617.0,593.0,97.87,153.8,72.46,469.0,1360.0,2,0,1,1,1
81,2026-05-06,갯브,9eef3d63d7eb7c8b88b81e26244e66feefe8d04e6d233bd35cf2fabdeb93fb0d,엘리시움,295,듀얼블레이더,10708,361722043.0,566.0,94.38,107.35,55.39,371.0,1370.0,1,1,1,0,0
82,2026-05-06,웡조,0102037bde278dcdbac052c9bdce3c72,크로아,295,엔젤릭버스터,,173094748.0,268.0,93.71,100.95,78.44,274.0,1360.0,1,1,1,0,0
83,2026-05-06,후후,3e3705a29a1efb890ab260c5310997d7,스카니아,296,아란,10287,286259903.0,457.0,97.58,120.05,46.41,320.0,1380.0,2,0,1,1,1
84,2026-05-06,갔니,3d2a210b782998132436bb4eed39064befe8d04e6d233bd35cf2fabdeb93fb0d,오로라,295,엔젤릭버스터,10431,119611176.0,326.0,92.47,119.0,81.39,299.0,1350.0,1,1,1,0,0
85,2026-05-06,엘림이,7428ad9137201a3a964705ac41c8c5fb3663933da92e7566c55104ec9ac2894d,엘리시움,295,윈드브레이커,9500,194857471.0,361.0,90.25,127.6,82.95,291.0,1350.0,1,0,1,0,0
86,2026-05-06,황효식,94620bb530c17bed39afcbf217d3bdff,크로아,295,제논,9253,597743510.0,540.0,98.4,119.2,28.7,435.0,1350.0,2,0,1,0,0
87,2026-05-06,칭누,a74836119b375e334fa7ab589ec10cb2efe8d04e6d233bd35cf2fabdeb93fb0d,엘리시움,295,루미너스,9519,227253609.0,349.0,95.48,105.0,104.82,268.0,1400.0,2,0,1,1,1
88,2026-05-06,현준e,a4beca2d1743a74000903be89ec3f3c9efe8d04e6d233bd35cf2fabdeb93fb0d,엘리시움,295,나이트워커,9709,204643315.0,337.0,93.81,114.2,70.02,304.0,1370.0,1,1,1,0,0
89,2026-05-06,과열불릿,9eaa234c3396352b70ffeab89a79147d,루나,295,블래스터,10021,333144047.0,473.0,95.13,99.7,105.7,386.0,1370.0,1,0,1,0,0
90,2026-05-06,전사하늘용,f6a2f35cdd10186cfb188788a8706285,베라,296,다크나이트,10565,470931909.0,479.0,95.69,125.7,122.75,399.0,1350.0,1,1,1,0,0
91,2026-05-06,준엥,9c77a1d82e07b5b9259bc636faa2be3aefe8d04e6d233bd35cf2fabdeb93fb0d,엘리시움,295,팔라딘,10269,276420453.0,403.0,94.02,113.45,48.5,304.0,1370.0,2,0,1,1,1
92,2026-05-06,샤넬블리,ce36df1ff613051c049d10037022993a,스카니아,296,나이트로드,9257,177189611.0,378.0,92.47,92.4,63.19,272.0,1360.0,1,1,1,0,0
93,2026-05-06,김대,7d73c0a01aebcf65a5445f343fe5b649,스카니아,296,"아크메이지(썬,콜)",9827,388798688.0,512.0,98.03,152.35,194.14,309.0,1360.0,2,0,1,1,1
94,2026-05-06,밍툰,b4cc00df659f9f72a4ab6fb46221150f,오로라,296,아델,10492,173191843.0,406.0,95.54,102.65,84.04,269.0,1350.0,1,1,1,0,0
95,2026-05-06,두줄,c27c98263443ac86e17635eb954b66d7,베라,297,아델,10228,286076557.0,440.0,95.58,152.5,96.58,308.0,1350.0,2,0,1,1,1
96,2026-05-06,오타우,323e95a675c13af666acbb68e9cfc1f3,크로아,295,제논,,638507478.0,494.0,95.91,85.1,28.7,438.0,1370.0,2,0,1,1,1
97,2026-05-06,페이탈,c43176532212a02a2e9768e472129ce9efe8d04e6d233bd35cf2fabdeb93fb0d,루나,295,카인,9996,277440801.0,429.0,96.76,132.4,146.77,297.0,1370.0,1,1,1,0,0
98,2026-05-06,쉘설슐,c5b2e51c609b9e86bd0b2ee43d8f9ff0,아케인,295,듀얼블레이더,10791,869206836.0,518.0,96.88,127.9,55.39,435.0,1350.0,2,0,1,1,1
99,2026-05-06,꿈섬,550536a8fc424f908c1b414c1cbb2970efe8d04e6d233bd35cf2fabdeb93fb0d,엘리시움,295,윈드브레이커,9320,313585995.0,434.0,94.22,120.1,84.31,346.0,1360.0,2,0,1,1,1
100,2026-05-06,윈터,606eed3e75dd3c2ea9e61356a8601f76,루나,296,다크나이트,9261,129598753.0,373.0,92.3,116.65,122.75,266.0,1350.0,1,1,1,0,0
101,2026-05-06,돌고래의윈브,e69ba8a0a538567856fb29c95a9329e2,스카니아,295,윈드브레이커,10368,353803130.0,483.0,97.25,126.6,84.31,407.0,1350.0,1,0,1,0,0
102,2026-05-06,믈님,3c1bffc83a819fdc2391ed5d1d3a51abefe8d04e6d233bd35cf2fabdeb93fb0d,엘리시움,296,듀얼블레이더,,375861983.0,475.0,95.89,99.8,55.39,409.0,1350.0,1,1,1,0,0
103,2026-05-06,갱이네,aaea0b00917201075aeb2dff2a1ebaa4efe8d04e6d233bd35cf2fabdeb93fb0d,엘리시움,296,윈드브레이커,,77014633.0,308.0,91.12,80.15,82.95,246.0,1350.0,1,1,1,0,0
104,2026-05-06,악땅녀숍,37996aac88964b8b61236557b0d16581,스카니아,296,비숍,9434,154626541.0,301.0,93.88,137.6,233.49,302.0,1350.0,1,1,1,0,0
105,2026-05-06,KPGG,4053433384591b859cc949c2251ca281efe8d04e6d233bd35cf2fabdeb93fb0d,엘리시움,295,바이퍼,9768,268431223.0,421.0,94.19,123.95,50.4,348.0,1350.0,1,1,1,0,0
106,2026-05-06,껌쪼,784cc70017e50a9031e7411605094b7aefe8d04e6d233bd35cf2fabdeb93fb0d,이노시스,297,메르세데스,9291,105494606.0,466.0,83.79,94.95,50.06,267.0,1365.0,0,0,0,0,0
107,2026-05-06,Minho,8607339910fc4097df81f579dd56ea68,스카니아,295,은월,10224,300175680.0,362.0,94.47,136.5,104.16,280.0,1350.0,2,0,1,1,1
108,2026-05-06,YUKARI티나,e16785a35ba4d6227798a8042c859f46,스카니아,295,은월,9607,127311290.0,313.0,92.97,100.3,102.41,266.0,1350.0,1,1,1,0,0
109,2026-05-06,호찬,87a8c65f1a6cb6d75ec2f7f4e8c8d335,크로아,296,팬텀,10782,281739664.0,329.0,93.33,111.05,124.8,288.0,1380.0,2,0,1,1,1
110,2026-05-06,연몽,ca366bc8fb9353b8e2b8d1131647e819,루나,295,섀도어,10683,287847527.0,458.0,95.72,132.65,72.46,282.0,1350.0,1,1,1,0,0
111,2026-05-06,김시우c,32adf9022ec647c6c126afcf0815b7e3,루나,295,아란,9845,148927546.0,357.0,84.3,87.8,46.41,294.0,1350.0,1,1,1,0,0
112,2026-05-06,타오,316ecdec2a035579f07cc7cafec743daefe8d04e6d233bd35cf2fabdeb93fb0d,루나,296,"아크메이지(불,독)",,27885382.0,245.0,89.85,75.95,194.14,42.0,1410.0,1,1,1,0,0
113,2026-05-06,그밍소,efd4d6173e7bf5fef9cc69039bdba9ef,크로아,295,아델,,343331845.0,414.0,97.87,121.4,85.46,305.0,1360.0,2,0,1,1,1
114,2026-05-06,도본해,eeae11313afb4d87a7c90d29a0f03680efe8d04e6d233bd35cf2fabdeb93fb0d,루나,295,윈드브레이커,,171689435.0,326.0,89.98,93.55,82.95,362.0,1350.0,1,0,1,0,0
115,,윤봄,f3d2ca03a923e574b670fcdd58d14f67,베라,295,비숍,9959,326534624,504.0,96.82,115.4,233.49,256.0,1360.0,2,,1,,
116,,세속,a5ac778c63af8e46801d8a4a0805f78a,베라,299,호영,10333,243071229,354.0,93.36,127.3,102.6,311.0,1380.0,1,,1,,
117,,덥죠,793ba4700bdb2defc00210be4319cb25,베라,298,히어로,9147,159219516,422.0,92.04,105.4,247.88,335.0,1360.0,1,,1,,
118,,구보,a713b32b9a2359def64d0b6e664b7e8a,루나,297,아크,10304,376230113,385.0,95.83,160.15,55.23,268.0,1370.0,2,,1,,
119,,Given,6203dcc16036377b9e5d9661403f8419efe8d04e6d233bd35cf2fabdeb93fb0d,루나,297,아델,10806,233158433,301.0,93.56,115.75,96.58,327.0,1350.0,2,,1,,
120,,의지WH,27110917a5bc7e2a643006aace15d050,오로라,288,와일드헌터,10857,100437606,316.0,85.48,107.0,126.84,277.0,1350.0,1,,1,,
121,,주갤,13af4b71b1a0849e522210f2ad438f62,베라,298,윈드브레이커,10109,301783425,447.0,94.73,125.8,84.31,325.0,1360.0,2,,1,,
122,,목숨,124b59a5671e1d6fee05492289a83bdeefe8d04e6d233bd35cf2fabdeb93fb0d,루나,295,렌,10857,75090561,271.0,92.88,76.65,86.15,213.0,1350.0,1,,1,,
123,,사칠,0ce3f4a4d6438a17f7f8280f48edb290,에오스,296,아델,10216,458007687,447.0,96.99,122.85,85.46,358.0,1360.0,2,,1,,
124,,세젤예나은띠,60f9112aca2ab0c8fbb9c3f40baf62afefe8d04e6d233bd35cf2fabdeb93fb0d,에오스,295,비숍,10877,207266208,286.0,89.82,129.15,233.49,387.0,1360.0,2,,1,,
125,,Rafail,5656d033c75f15fd8ee663d2575298c8,스카니아,285,보우마스터,10807,36044362,291.0,88.07,68.3,75.83,152.0,1350.0,1,,1,,
126,,조녜삔,03d761519c3a05948ca67b70c0be7948efe8d04e6d233bd35cf2fabdeb93fb0d,엘리시움,296,아델,10597,467257921,503.0,94.77,119.2,84.04,363.0,1360.0,2,,1,,
127,,브루스,8c7f07d9853faf70cfa4521027bf681a,크로아,294,비숍,10856,160903137,302.0,91.61,102.8,233.49,308.0,1360.0,1,,1,,
128,,동화나라,5e00d1ae242184ec405693d705d8d6a6,루나,296,듀얼블레이더,10953,142188968,454.0,90.88,85.65,55.39,203.0,1350.0,1,,1,,
129,,닉옴겨줘땅,b6e65995f9ad95a8cd65191f2a27eaff,크로아,299,듀얼블레이더,10748,108918225,273.0,86.37,88.5,55.39,268.0,1390.0,1,,1,,
130,,스비주,64dff14748a3f79c4a16350871176cfd,스카니아,285,비숍,10877,235388103,551.0,98.66,102.3,233.49,371.0,1350.0,1,,1,,
131,,도스석궁,a8d1c7ce79ad026c37f1eeeb13046282,크로아,295,신궁,10474,1091761745,592.0,97.88,137.0,88.52,443.0,1350.0,2,,1,,
132,,페온,2b6c51531d28884f751e9eb900eb5424,루나,297,에반,9297,142739837,283.0,91.11,118.7,68.74,299.0,1350.0,1,,1,,
133,,Ssiwoo,63900e00115c2d6e551f1dfee4625f6f,루나,297,아란,9538,181090631,309.0,88.7,105.15,46.41,304.0,1360.0,1,,1,,
134,,태평양,ba1293a5aa001d9a63fe22f31f73d229,스카니아,295,와일드헌터,10350,752683230,601.0,97.86,136.0,126.84,428.0,1360.0,2,,1,,
135,,시기S,fbacb5a950b74989d4c753aa7b6ecfbf,크로아,298,듀얼블레이더,10413,1023706651,685.0,97.88,180.55,197.98,439.0,1380.0,2,,1,,
136,,지멈,00f545c90c77cb59b1fab83514eaddd9,스카니아,296,엔젤릭버스터,10285,373630636,508.0,97.97,164.4,78.44,342.0,1460.0,2,,1,,
137,,고티카,d6473f7703b258b36475ef0bf1d4aadbefe8d04e6d233bd35cf2fabdeb93fb0d,엘리시움,295,듀얼블레이더,11027,482410218,482.0,96.15,120.25,55.39,431.0,1350.0,1,,1,,
138,,떱뒤,f8612f4aa4da3e7388d3cc52e86ef953efe8d04e6d233bd35cf2fabdeb93fb0d,루나,295,섀도어,10907,122949628,184.0,67.11,121.3,94.83,278.0,1350.0,1,,1,,
139,,솝상,1bc9dd42a91c3d2e449d0f68a1ae34a2,크로아,300,비숍,10201,167776551,322.0,91.03,88.75,233.49,309.0,1380.0,1,,1,,
