character_name,character_class,ocid,date,remain_ap,최소 스탯공격력,최대 스탯공격력,데미지,보스 몬스터 데미지,최종 데미지,방어율 무시,크리티컬 확률,크리티컬 데미지,상태이상 내성,스탠스,방어력,이동속도,점프력,스타포스,아케인포스,어센틱포스,STR,DEX,INT,LUK,HP,MP,AP 배분 STR,AP 배분 DEX,AP 배분 INT,AP 배분 LUK,AP 배분 HP,AP 배분 MP,아이템 드롭률,메소 획득량,버프 지속시간,공격 속도,일반 몬스터 데미지,재사용 대기시간 감소 (초),재사용 대기시간 감소 (%),재사용 대기시간 미적용,속성 내성 무시,상태이상 추가 데미지,무기 숙련도,추가 경험치 획득,공격력,마력,전투력,소환수 지속시간 증가
Baddy,메카닉,1cf1d6efc0b9b32c9fdc241b2abfcedd,,0,153868860,181022186,117.00,433.00,56.20,95.49,68,99.20,76,100,68844,170,123,409,1350,860,10254,93332,7093,6509,81333,33579,4,1518,4,4,-303,-270,35,39,88,6,12.00,5,6,0,5.00,14.00,85,271.00,9282,2238,483009339,20
BrutalThief,섀도어,c288966edfe3e400173aec2853c89c24,,0,94223427,104692695,105.50,281.00,72.46,88.26,95,96.15,75,100,99999,170,123,347,1350,840,4896,7479,3993,69355,56436,43179,4,4,4,1518,-479,-265,213,183,55,8,115.00,0,6,7,5.00,6.00,90,313.00,7841,1956,177511333,0
Chaos,키네시스,3a84007dd5dbe02c65a731da2304372a,,0,104335257,112188445,106.00,293.00,173.09,94.07,109,123.00,71,100,23515,168,123,303,1360,860,4455,4307,59631,8480,90980,69434,4,4,1518,4,0,0,257,157,91,6,106.00,5,6,15,5.00,9.00,93,389.00,1959,6728,145531692,0
Lacheln,은월,af471d7a62303f2359f274a74296ce8aefe8d04e6d233bd35cf2fabdeb93fb0d,,0,253387095,281541213,183.00,289.00,104.16,93.95,100,164.00,95,100,99999,170,123,377,1360,850,72510,10581,6955,6761,75813,40541,1518,4,4,4,0,0,299,206,76,8,122.00,3,6,7,5.00,9.00,90,376.00,9535,2169,252830373,15
RJ115697,히어로,d5bbec0b99c1eeeb30d5a7ab6cdf1afdefe8d04e6d233bd35cf2fabdeb93fb0d,,0,157342835,174825369,74.25,373.00,232.75,91.54,92,94.35,77,100,99999,170,123,350,1370,830,71129,9073,5631,5035,103675,27279,1518,4,4,4,-460,-203,136,130,35,8,133.00,2,6,7,5.00,6.00,90,277.50,7132,1982,208317181,12
SingPlay,아델,76d94793a3d6fc3b5770aea167ef192f,,0,84521784,93913091,109.00,228.00,84.04,87.20,99,80.65,76,100,99999,160,123,322,1350,880,60355,7832,4490,4858,87411,24937,1518,4,4,4,0,0,256,156,65,7,131.00,2,6,7,5.00,6.00,90,300.00,7535,1471,119686509,0
ifthenelse,메르세데스,05409d25421c3f90c7baa62542da0278,,0,186981389,219978103,107.00,528.00,63.71,97.86,206,117.65,67,100,75545,171,123,442,1370,850,12100,99350,7880,7985,57013,35833,4,1518,4,4,0,0,36,41,56,8,22.00,2,6,7,5.00,17.00,85,350.00,12194,3085,733878880,10
raro,팬텀,598f53182d234b3b2f14c35eb39bfcfb,,0,193742770,212904139,127.00,331.00,216.96,95.08,121,108.00,105,100,57306,170,123,325,1390,810,6160,9678,5714,74886,114851,88922,4,4,4,1518,-477,-270,299,266,50,8,125.00,5,6,7,5.00,6.00,91,424.00,7361,2029,226642075,0
감귤있어요,"아크메이지(썬,콜)",ee1e4d36eed1223c0a735824205e4280,,0,143079062,150609536,115.00,278.00,194.14,91.94,93,96.70,47,100,22405,170,123,290,1350,840,3519,4827,64196,7974,34366,77200,4,4,1518,4,0,0,258,143,143,8,114.00,2,6,3,15.00,6.00,95,303.00,2273,7496,167565146,12
갓지훈,나이트로드,4886369b374429fc407269c09e124097,,0,49445909,58171656,86.00,275.00,63.19,83.89,120,89.25,77,100,36354,170,123,250,1350,820,2957,5476,3030,47724,75985,45463,4,4,4,1518,0,0,256,156,55,8,107.00,0,6,7,5.00,6.00,85,295.00,5577,880,92500263,10
