character_name,character_class,ocid,date,remain_ap,최소 스탯공격력,최대 스탯공격력,데미지,보스 몬스터 데미지,최종 데미지,방어율 무시,크리티컬 확률,크리티컬 데미지,상태이상 내성,스탠스,방어력,이동속도,점프력,스타포스,아케인포스,어센틱포스,STR,DEX,INT,LUK,HP,MP,AP 배분 STR,AP 배분 DEX,AP 배분 INT,AP 배분 LUK,AP 배분 HP,AP 배분 MP,아이템 드롭률,메소 획득량,버프 지속시간,공격 속도,일반 몬스터 데미지,재사용 대기시간 감소 (초),재사용 대기시간 감소 (%),재사용 대기시간 미적용,속성 내성 무시,상태이상 추가 데미지,무기 숙련도,추가 경험치 획득,공격력,마력,전투력,소환수 지속시간 증가
검성OGC,히어로,799fb7c69a0df6dff6ff73d47e9fd35defe8d04e6d233bd35cf2fabdeb93fb0d,,0,15109598,16788439,55.00,47.00,202.50,67.60,91,64.20,60,100,52146,133,118,40,1350,770,33887,774,794,566,49550,6385,1518,4,4,4,-954,198,30,34,30,8,137.00,0,5,0,5.00,6.00,90,255.00,1824,219,6142697,0
곤주,"아크메이지(불,독)",b41546f8dfb6267651817cd1792c85c8efe8d04e6d233bd35cf2fabdeb93fb0d,,0,172554748,179744526,122.50,296.00,194.14,93.00,111,105.60,77,100,23332,170,123,272,1360,840,5424,5301,65635,9020,77151,114190,4,4,1518,4,0,0,202,143,115,8,83.00,5,6,0,15.00,6.00,96,338.00,2265,8428,202982908,20
곰돌이,비숍,1efedb3bee9b4320d32ca64130d65c0f,,0,170650318,179631910,74.00,349.00,233.49,94.15,110,113.50,72,100,27196,170,123,282,1370,860,5395,6096,68691,9093,50682,91346,4,4,1518,4,-406,-207,178,157,131,8,60.00,2,6,0,15.00,9.00,95,278.00,2307,9088,264192317,12
귀욤,아크,f862af7425ab8702c9d9795b45fb60f9,,0,296265393,329183769,80.00,532.00,55.23,96.45,94,137.85,78,100,99999,171,123,453,1350,850,120076,13148,9823,10442,72948,53491,1518,4,4,4,0,0,39,44,75,6,52.00,3,6,27,5.00,17.00,90,380.00,14044,3455,1112344750,20
김솔밤,다크나이트,63500d5f41710c2f5cd6718c935c4160,,0,111711167,124123516,112.00,464.00,122.75,93.19,81,146.65,67,100,99999,170,123,319,1350,870,63913,8984,5947,5631,97465,25672,1518,4,4,4,-190,-395,273,215,85,8,75.00,0,6,7,5.00,6.00,90,278.00,6666,1553,210941070,12
남한,에반,e8d9ad67fcc4890395b6ab78e11df31f,,0,217637499,229092103,67.00,606.00,68.74,97.56,90,142.80,81,100,42858,170,123,440,1360,840,11116,10540,112151,15771,53789,90059,4,4,1518,4,-411,-438,38,42,74,7,12.00,3,6,17,5.00,14.00,95,568.00,3637,14589,1005331837,20
납낭,비숍,3fdc42e218ba1572d0e77286d65e6923efe8d04e6d233bd35cf2fabdeb93fb0d,,0,114832320,120876123,80.00,299.00,233.49,91.32,122,91.65,87,100,18573,170,123,288,1350,840,3831,3858,60692,7835,48443,87257,4,4,1518,4,-459,-214,268,158,115,8,115.00,0,6,0,15.00,6.00,95,308.00,2005,6696,142918644,12
단솜,윈드브레이커,9708ef10c2d20138c2b5d321340a2f07,,0,105229835,123799803,117.50,263.00,82.95,88.05,65,88.10,70,100,65148,160,123,344,1350,810,7837,63933,4185,3869,49495,23075,4,1518,4,4,-391,-198,243,143,36,8,150.00,5,6,0,5.00,0.00,85,309.00,9080,1887,154285068,10
덕켄,다크나이트,1bb0db888e2904040a28cbec47ddcf85,,0,81289301,90321443,79.00,371.00,122.75,94.02,82,115.30,65,100,99999,170,123,283,1350,890,57656,6777,3521,4014,82305,25976,1518,4,4,4,0,0,257,157,90,8,99.00,5,6,7,5.00,0.00,90,299.00,6404,1399,162065337,10
뎅아인,에반,68c54ad29c06d46149e7378248cbe30e,,0,187983503,195816147,82.00,373.00,68.74,96.03,106,148.35,62,100,36905,170,123,413,1360,870,8096,8927,95194,12814,48659,138398,4,4,1518,4,-481,46129,61,42,60,7,52.00,5,6,17,15.00,16.00,96,309.00,3234,13500,529067309,10
록리,아란,40d0384875863e1a7df4c9d8631abaceefe8d04e6d233bd35cf2fabdeb93fb0d,,0,93167012,103518901,136.00,303.00,46.41,90.21,98,104.10,101,100,99999,170,123,335,1360,830,60298,8897,5720,5318,84918,51939,1518,4,4,4,-423,-443,257,156,74,8,111.00,4,6,3,5.00,6.00,90,284.00,8040,1726,188466212,10
루나썬콜,"아크메이지(썬,콜)",19bd0610fe2fc268fadf8ef5452f7631,,0,159779191,166436654,119.00,289.00,194.14,89.05,111,101.35,85,100,22758,170,123,289,1350,880,3959,4120,63986,6953,43558,77675,4,4,1518,4,0,-191,202,158,110,8,114.00,2,6,0,15.00,6.00,96,338.00,2051,8190,177167193,10
마르디아,비숍,e30f18b3c5fc945f143a30a5533812e9efe8d04e6d233bd35cf2fabdeb93fb0d,,0,165066202,173753894,71.00,280.00,233.49,90.61,162,108.40,102,100,27438,170,123,278,1370,840,5561,5900,67777,9792,48316,93384,4,4,1518,4,0,-235,178,158,120,8,111.00,2,6,7,15.00,9.00,95,303.00,2316,9039,223125411,12
맛살,캐논마스터,6a3d4c1f905116c25fc9db05536e9bc8,,0,223508396,262951052,121.00,561.00,76.09,97.69,90,124.85,62,100,99999,170,123,431,1370,870,101555,13865,9319,10312,78972,35909,1518,4,4,4,-415,-536,39,44,74,8,12.00,5,6,0,5.00,14.00,85,372.00,10723,2754,692033057,12
먹음쟁이,키네시스,a5e845dbb223b5fa8b7c06ad92c64abeefe8d04e6d233bd35cf2fabdeb93fb0d,,0,196449382,208988701,159.00,437.00,186.54,97.50,134,165.70,73,100,25456,170,123,324,1360,840,4761,5736,67256,8595,111358,79596,4,4,1518,4,-433,0,312,269,91,8,121.00,0,6,7,5.00,9.00,94,468.00,2459,8453,253084430,20
모냐,팬텀,34a26c1ef60b5be39e38f5447384e809efe8d04e6d233bd35cf2fabdeb93fb0d,,0,250801070,275605567,195.00,353.00,216.96,95.46,120,137.25,101,100,51773,170,123,339,1360,850,5767,9503,5490,64334,90971,60313,4,4,4,1518,0,0,303,210,133,8,118.00,5,6,7,5.00,0.00,91,422.00,8497,1746,224299655,12
몽둥이여사님,비숍,95d8b4c97bf184e9af21a3c3039624d9,,0,290541395,305833043,122.00,366.00,233.49,93.65,105,112.85,85,100,33316,170,123,359,1380,870,7200,7630,82531,11760,105320,137481,4,4,1518,4,0,0,309,208,155,8,126.00,0,6,7,15.00,9.00,95,477.00,2744,10069,355064171,22
버터,나이트로드,21ba749dd7f3de75400fad4bceeba174efe8d04e6d233bd35cf2fabdeb93fb0d,,0,16817328,19785091,65.00,190.00,63.19,61.22,91,80.70,72,100,26747,160,123,87,1350,770,2476,2715,2030,40944,51819,28692,4,4,4,1518,0,0,55,33,35,6,114.00,0,6,0,5.00,6.00,85,232.00,2522,565,24277650,12
번개숑숑이,나이트로드,2c18c32dd82b80d73a4094c17baa9a4d,,0,82097213,96584955,69.00,457.00,63.19,97.62,104,106.10,76,100,57080,170,123,343,1350,840,6942,10994,7672,72194,65343,33302,4,4,4,1518,0,0,253,163,91,8,55.00,0,6,7,5.00,6.00,85,313.00,6676,1980,261487542,10
법행,"아크메이지(불,독)",160ab5bb62dcd76b67d2942452fa0f8befe8d04e6d233bd35cf2fabdeb93fb0d,,0,351451418,369948858,111.00,553.00,194.14,96.69,90,114.85,56,100,45030,170,123,441,1350,850,11859,11750,108238,16866,48224,96913,4,4,1518,4,0,12111,39,44,174,8,12.00,5,6,7,15.00,17.00,95,272.00,3601,11043,774852235,22
벨벨,스트라이커,6c8faa577de2eca0c75f1969b0229d6aefe8d04e6d233bd35cf2fabdeb93fb0d,,0,187159249,205669502,145.00,478.00,38.89,98.45,100,149.15,83,100,99999,170,123,305,1360,840,77432,10873,8198,6379,105963,50660,1518,4,4,4,-485,-515,302,209,100,8,12.00,5,6,7,5.00,9.00,91,603.00,11090,2655,454654749,32
보룬,제로,28d24a2449bf2ff395e4293356b3d92c,,0,259111922,287902133,198.00,579.00,71.89,97.66,111,151.00,102,100,99999,170,123,386,1380,860,82169,12416,9243,9463,103670,,1518,4,4,4,-291,0,62,43,69,8,12.00,5,6,27,5.00,13.00,90,403.00,11059,3062,396388076,10
보마노랑이,보우마스터,551cf811a3a265eebe7eb02f9eee5edd,,0,122144227,143699089,73.00,458.00,75.83,97.49,190,96.75,59,100,68153,170,123,376,1350,840,13052,81592,8127,8632,78551,35218,4,1518,4,4,-506,165,238,63,55,8,52.00,2,6,7,5.00,17.00,85,293.00,10706,2374,406069293,22
비명,카데나,bfb9448bd14435ec808c3950e13c84c4,,0,257285186,282730971,123.00,493.00,115.07,95.72,103,134.30,75,100,75240,170,123,422,1350,840,12359,15814,11115,88632,74686,40685,4,4,4,1518,0,0,277,163,65,8,133.00,5,6,7,5.00,9.00,91,428.00,11849,2888,639928551,10
쀼챠,제로,ce18a029de25657899f7c67a09ab93d8,,0,120435971,133817743,118.00,511.00,62.16,95.97,125,74.20,102,100,99999,170,123,257,1350,880,68099,8790,6161,6023,108989,,1518,4,4,4,-233,0,158,143,70,8,52.00,5,6,7,5.00,17.00,90,378.00,9035,1996,290428120,12
손대천,히어로,fc237e28b3164efdc88eea936553cce4efe8d04e6d233bd35cf2fabdeb93fb0d,,0,252745533,280828365,124.00,365.00,268.75,96.38,101,135.30,81,100,99999,170,123,376,1350,840,67854,10397,6658,6858,107236,23307,1518,4,4,4,0,0,297,214,45,8,110.00,0,6,0,5.00,6.00,90,338.00,8378,1885,226468642,12
솝상,비숍,1bc9dd42a91c3d2e449d0f68a1ae34a2,,0,218631294,230138202,66.00,431.00,233.49,94.66,136,112.75,90,100,39472,169,123,398,1380,870,8737,8739,93540,13518,44375,90960,4,4,1518,4,-489,-233,38,43,141,8,52.00,2,6,3,15.00,16.00,95,278.00,2674,8936,419078463,12
수정과,아델,bcb85fcd53ea70ad67db95ca0f5c24d8efe8d04e6d233bd35cf2fabdeb93fb0d,,0,145090539,161211708,106.00,495.00,84.04,94.54,96,113.25,67,100,99999,170,123,410,1420,870,90480,10581,8786,7418,91033,34763,1518,4,4,4,0,0,57,57,95,7,19.00,3,6,7,5.00,9.00,90,279.00,8781,2305,415074110,12
시눙식,호영,e3bc79347dae85944b2f98364880617e,,0,93817040,104241154,96.00,328.00,102.60,83.67,94,111.05,82,100,51400,170,123,348,1350,840,5489,9621,5777,67757,52451,27438,4,4,4,1518,0,0,253,163,104,7,137.00,0,6,0,5.00,6.00,90,308.00,7195,1748,175663682,42
아욤,비숍,40a35ddb55e4478e89e77fb51e7fb666,,0,226103240,238003407,76.00,465.00,233.49,97.10,122,116.50,82,100,39365,170,123,333,1350,850,7803,8386,81889,10627,45477,89071,4,4,1518,4,0,-144,177,157,135,8,59.00,2,6,7,15.00,0.00,95,289.00,2788,9992,453387015,20
안녕별잇,아란,8326f956abdf41ca86d0d4d4f1a2c286efe8d04e6d233bd35cf2fabdeb93fb0d,,0,275623132,306247923,121.00,604.00,46.41,98.39,90,129.90,86,100,99999,170,123,453,1350,880,114460,17873,11918,14371,81864,27773,1518,4,4,4,2286,-265,41,45,66,8,22.00,4,6,7,5.00,17.00,90,285.00,13353,3328,1077683348,0
압살,메카닉,bc9ba6b1f13451d74458a513aad3b494,,0,191536198,222716507,170.00,665.00,56.20,97.48,110,141.10,77,100,79795,170,123,407,1350,830,13883,82937,9214,9314,106708,56463,4,1518,4,4,-378,-393,281,122,95,8,19.00,4,6,3,5.00,13.00,86,329.00,10186,2848,563714997,32
엑스퍼트,바이퍼,1bba8eff58954064440523fb989a10c2,,0,76449530,84010470,111.00,254.00,50.40,86.69,101,93.55,77,100,99999,170,123,302,1350,870,59141,7665,4518,4697,101774,49409,1518,4,4,4,-487,-459,274,160,30,8,126.00,0,5,0,5.00,6.00,91,331.00,6376,1508,110920535,30
연님,아델,c28adf632498c3a3d6ce87c16ad2157d,,0,109813331,120673987,146.00,374.00,96.58,94.07,125,141.50,72,100,99999,170,123,291,1370,860,61427,6492,3469,3642,92506,30573,1518,4,4,4,0,0,297,275,55,8,126.00,4,6,7,5.00,0.00,91,638.00,7611,1512,177130688,0
영돌,소울마스터,8d756d38e581247b9d6aa184e6e3da6a,,0,94709385,105232649,72.00,392.00,60.88,94.77,121,102.50,79,100,99999,170,123,303,1385,880,71838,9056,4873,5360,73046,24627,1518,4,4,4,-417,-237,258,156,55,8,111.00,2,6,7,5.00,9.00,90,303.00,9575,2275,286406962,20
오앙,"아크메이지(불,독)",ad7db026f239d0cf7046a2580cdb8cc7,,0,179122403,186585833,127.00,380.00,194.14,95.94,100,105.50,50,100,18269,160,123,329,1350,840,3923,3989,72018,7526,69286,104029,4,4,1518,4,0,0,282,158,110,8,110.00,5,6,0,15.00,6.00,96,438.00,2292,7878,245011104,10
오지환,키네시스,e39f3066e9e969f077e0e2419dee386d,,0,1,2,75.00,161.00,160.49,87.12,80,90.00,71,100,2456,140,123,0,1320,770,612,421,34117,862,24771,23251,4,4,1518,4,0,0,54,39,51,0,0.00,0,6,10,5.00,6.00,20,257.00,227,696,0,10
우정,듀얼블레이더,c0946ad66d8ae6c5cb7f49e9c8acc39a,,0,171757348,190841496,89.00,496.00,55.39,95.19,98,123.20,66,100,99999,170,123,373,1360,870,9936,12418,8867,88745,59594,37176,4,4,4,1518,350,-242,198,143,60,8,52.00,5,6,7,5.00,17.00,90,278.00,13247,2643,729603673,10
유화,아델,81ceda34f415c8ab9f14d296d270b42eefe8d04e6d233bd35cf2fabdeb93fb0d,,0,82609005,91787781,109.00,355.00,84.04,90.68,80,82.75,71,100,99999,160,123,263,1350,850,66019,8634,5991,6435,94962,38784,1518,4,4,4,0,0,252,157,30,7,71.00,3,0,7,5.00,0.00,90,377.00,6731,1471,155772243,0
으파,데몬어벤져,429812f3fd11ad2a56159bd99d9aae35,,0,157926142,175473490,122.00,457.00,30.90,93.87,90,111.45,92,100,52406,170,123,393,1370,850,5689,4744,3273,3158,500000,,4,4,4,4,22701,0,256,155,65,8,75.00,2,6,7,5.00,9.00,90,385.00,10208,2513,564930122,20
은사,팔라딘,e05736e85564a6272abe13c4013f5dd8,,0,139700870,155223187,69.00,541.00,48.50,96.49,88,115.75,77,100,99999,170,123,440,1350,870,99584,13340,8899,8813,95725,24331,1518,4,4,4,350,-240,39,44,111,8,12.00,5,6,7,5.00,14.00,90,372.00,11212,2687,702855889,12
이보영,윈드브레이커,b978efa17ca24e90f7ddcd2f6c3c591d,,0,117785220,136959556,160.00,490.00,84.31,91.44,142,152.95,71,100,56534,170,123,334,1350,890,9006,64395,6363,5207,66030,28780,4,1518,4,4,-400,-199,297,275,55,8,113.00,5,6,7,5.00,0.00,86,343.00,8247,1947,227151402,12
인크카,카인,7250019a5f013b392531fca20e3f1c9eefe8d04e6d233bd35cf2fabdeb93fb0d,,0,325318300,378277090,98.00,537.00,146.77,97.83,215,147.30,66,100,99999,170,123,435,1350,850,14544,105942,10156,10796,85949,43899,4,1518,4,4,0,0,38,42,55,7,12.00,4,6,7,5.00,9.00,86,368.00,13587,3194,891131048,20
주희디,윈드브레이커,abfba8c01fe3279f6964a6c06c50b208efe8d04e6d233bd35cf2fabdeb93fb0d,,0,180343560,209701812,114.00,589.00,84.31,98.23,216,134.80,82,100,86288,170,123,414,1360,860,16577,101274,10598,10630,83713,35300,4,1518,4,4,-384,-206,71,42,54,8,12.00,4,6,7,5.00,13.00,86,429.00,9699,2844,538128039,12
중뒹,비숍,d34f4c649a044537294753bb2e6d35b8efe8d04e6d233bd35cf2fabdeb93fb0d,,0,228268579,240282711,76.50,445.00,233.49,96.06,93,102.30,81,100,28373,170,123,399,1350,850,7452,6857,87185,11203,41368,80138,4,4,1518,4,0,0,68,47,135,8,13.00,0,6,7,15.00,17.00,95,338.00,2617,9451,393587659,10
징베,캡틴,2055765c52c9029cc0eabc8942c561b0,,0,73905757,86947948,80.00,243.00,78.20,82.73,89,117.35,45,100,59470,170,123,320,1350,840,7678,64140,4630,4874,50056,28082,4,1518,4,4,-473,-540,252,163,30,8,144.00,0,5,6,5.00,6.00,85,313.00,6839,1502,147334789,32
채콩,아델,dcec1cf65a021a4021b0496d35ad6c07,,0,234439614,260488457,109.00,510.00,84.04,95.90,103,129.20,70,100,99999,170,123,415,1370,840,103637,14347,10251,10340,79599,27657,1518,4,4,4,0,0,48,43,70,7,52.00,5,6,17,5.00,17.00,90,308.00,12146,2813,739773431,20
최무등,패스파인더,512a7be70203c301c2a641a1028f14c3,,0,137168032,161374154,81.00,472.00,57.70,97.43,182,106.00,98,100,93147,170,123,442,1350,890,12271,84066,7787,9302,61420,24912,4,1518,4,4,-200,50,269,159,70,8,75.00,5,6,7,5.00,6.00,85,339.50,12478,2722,539858237,10
카사,팬텀,d3548ae941e5e31ecc58c382773733fa,,0,292087445,324541604,117.00,468.00,87.33,96.90,103,125.80,93,100,82971,170,123,442,1370,870,11185,13925,10025,112471,64967,31456,4,4,4,1518,-482,-294,59,59,129,8,52.00,5,6,7,5.00,9.00,90,287.00,13241,3278,837044837,22
케인WWE챔프,배틀메이지,348a6d80245eee39464cfc937385673eefe8d04e6d233bd35cf2fabdeb93fb0d,,0,111490091,116135509,181.00,334.00,74.46,93.54,100,164.40,75,100,66677,170,123,308,1350,840,5258,4934,63949,10550,145051,167281,4,4,1518,4,-482,53413,282,274,71,8,115.00,0,5,0,5.00,6.00,96,323.50,2231,7412,171248039,0
탱이갓제논,제논,291e11bed7c64d30014656f914f48844,,0,245385626,269654532,118.00,549.00,28.70,97.18,100,117.80,100,100,99999,170,123,442,1360,850,49029,55332,21854,61147,135066,84918,330,330,4,866,0,0,62,43,131,8,12.00,5,6,0,5.00,14.00,91,603.00,11061,2865,777525022,22
테룽이,카이저,01133746618e52a77a3807ffa65710a6efe8d04e6d233bd35cf2fabdeb93fb0d,,0,127014318,141127018,89.00,343.00,46.30,96.52,75,115.45,30,100,99999,170,123,416,1390,850,75851,12111,9036,8481,114404,41143,1518,4,4,4,-413,-202,254,164,143,6,103.00,4,6,7,5.00,9.00,90,307.00,12072,2544,384451046,20
팔지니,팔라딘,f2378a4082d6a9f7a3353ff5c42847c6efe8d04e6d233bd35cf2fabdeb93fb0d,,0,77882169,86535742,80.00,375.00,48.50,95.03,88,106.00,86,100,99999,170,123,353,1350,830,74444,10856,7374,6728,95686,33738,1518,4,4,4,0,0,257,157,55,8,115.00,4,6,7,5.00,6.00,90,382.25,7828,1774,269795089,10
팡이요,아델,e0e9a1c5789c3fcad38d88b7c96e1d36efe8d04e6d233bd35cf2fabdeb93fb0d,,0,139088507,152844511,99.00,371.00,96.58,96.01,101,112.50,89,100,99999,170,123,307,1360,840,71471,11535,7141,6023,124046,37999,1518,4,4,4,0,0,277,163,67,8,115.00,5,6,7,5.00,9.00,91,438.00,10105,2257,298957637,20
포쏘는예지니,아델,2386fe0676135cc51f7e21102479e7d8efe8d04e6d233bd35cf2fabdeb93fb0d,,0,18296951,20329943,89.00,142.00,95.08,78.89,90,73.60,60,100,55995,136,123,50,1350,770,34707,1384,1001,891,54627,16782,1518,4,4,4,0,0,139,94,10,7,103.00,0,6,0,5.00,14.00,90,290.00,3025,303,16667428,0
표도,나이트로드,3c487577e99d30af80806e7d48f4f244,,0,188582985,219282538,138.00,453.00,63.19,96.30,118,149.10,75,100,68506,170,123,405,1360,870,8963,13975,9356,80974,89114,50078,4,4,4,1517,0,12,347,275,62,8,125.00,0,6,0,5.00,0.00,86,438.00,9549,2568,361661501,30
한계,나이트로드,5352b52492e2ed5f095df43d9bcf62a6,,0,111849805,131588004,79.00,438.00,63.19,91.61,105,116.70,61,100,56645,170,123,325,1320,840,6614,10149,5283,76012,77399,49873,4,4,4,1518,-420,-254,258,158,55,8,95.00,0,6,7,5.00,9.00,85,403.00,8193,2080,346205396,12
햐희,비숍,fa8750880c5f40cb3f7652df0520728a,,0,82729475,87083655,80.00,311.00,233.49,94.07,92,77.70,71,100,17210,170,123,245,1380,860,3170,3333,49480,6014,44462,84532,4,4,1518,4,0,0,256,156,105,8,114.00,0,6,0,15.00,6.00,95,260.00,1355,5928,93845078,32
헨쇼,아델,c54c36de504ffc979f67ec2c79d1b5eeefe8d04e6d233bd35cf2fabdeb93fb0d,,0,83071252,91287088,142.00,445.00,85.46,92.60,108,148.15,61,100,95310,170,123,275,1350,830,55384,6343,3504,3216,86199,23225,1518,4,4,4,0,0,281,157,45,8,53.00,5,6,7,5.00,9.00,91,309.00,6866,1203,165333679,12
혜넹,일리움,edd4c2b01d4ceb53c67af80a9cfae4b6efe8d04e6d233bd35cf2fabdeb93fb0d,,0,77692546,86325050,83.00,416.00,65.00,94.50,48,72.70,56,100,21855,158,123,388,1460,860,5233,5994,70807,9706,70844,64351,4,4,1518,4,-499,-485,158,98,10,6,12.00,0,0,7,5.00,14.00,90,256.00,2270,8133,184138118,20
